Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"PlayerLoop";13.87656;12.26406;15.64833;203;125;239;1;1;4159.44758701324;13.86483;13.46531;14.24406;300;1;1;1;300;1;12.26406;15.64833;125;239;13.88432
"EarlyUpdate.XRUpdate";10.24219;8.547813;11.59969;133;217;81;2;2;3067.41144561768;10.2247;9.845469;10.59245;300;1;1;1;300;1;8.547813;11.59969;217;81;9.966928
"PostLateUpdate.FinishFrameRendering";1.770625;1.096771;2.991823;113;80;216;2;2;532.636202812195;1.775454;1.581614;1.954531;300;1;1;1;300;1;1.096771;2.991823;80;216;2.014219
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::RenderPipelineManager.DoRenderLoop_Internal() [Invoke]";1.657083;1.03224;2.859896;98;80;216;3;3;499.957537293434;1.666525;1.481302;1.819844;300;1;1;1;300;1;1.03224;2.859896;80;216;1.769427
"Inl_UniversalRenderTotal";1.603646;1.006458;2.801667;170;80;216;4;4;487.464623212814;1.624882;1.440521;1.776511;300;1;1;1;300;1;1.006458;2.801667;80;216;1.676407
"Inl_RenderCameraStack";1.555677;0.97901;2.737031;230;80;216;5;5;472.273175358772;1.574244;1.398906;1.73474;300;1;1;1;300;1;0.97901;2.737031;80;216;1.566094
"Inl_UniversalRenderPipeline.RenderSingleCameraInternal: CenterEyeAnchor";1.028125;0.667031;1.809218;88;80;124;6;6;313.633884489536;1.045446;0.918073;1.137761;300;1;1;1;300;1;0.667031;1.809218;80;124;0.981875
"Update.ScriptRunBehaviourUpdate";0.629844;0.428802;1.145782;281;29;287;2;2;194.553774684668;0.6485126;0.576823;0.712188;300;1;1;1;300;1;0.428802;1.145782;29;287;0.627396
"BehaviourUpdate";0.628333;0.428073;1.144479;281;29;287;3;3;194.094335347414;0.6469811;0.575833;0.710833;300;1;1;1;300;1;0.428073;1.144479;29;287;0.625209
"PostLateUpdate.PlayerSendFrameStarted";0.353386;0.219896;0.948646;236;1;201;2;2;112.280535370111;0.3742684;0.306928;0.413959;300;1;1;1;300;1;0.219896;0.948646;1;201;0.375834
"Inl_ExecuteRenderGraph";0.327136;0.213541;0.742448;206;298;216;7;7;103.749739691615;0.3458325;0.288177;0.37625;300;1;1;1;300;1;0.213541;0.742448;298;216;0.346407
"FrameEvents.XRBeginFrame";0.289115;0.18552;0.839219;127;1;201;3;3;92.5808367431164;0.3086028;0.252917;0.3375;300;1;1;1;300;1;0.18552;0.839219;1;201;0.313906
"meta.xr.mrutilitykit.dll!Meta.XR.MRUtilityKit::MRUK.Update() [Invoke]";0.269688;0.180365;0.498854;116;29;297;4;4;85.4443849027157;0.2848146;0.248125;0.311979;300;1;1;1;300;1;0.180365;0.498854;29;297;0.269218
"Inl_RecordRenderGraph";0.262187;0.176094;1.111614;192;80;124;7;7;83.3907387256622;0.2779691;0.232187;0.298958;300;1;1;1;300;1;0.176094;1.111614;80;124;0.242448
"Inl_ScriptableRenderContext.Submit";0.25224;0.149375;0.881146;189;28;169;6;6;83.0064108967781;0.276688;0.212864;0.309532;300;1;1;1;300;1;0.149375;0.881146;28;169;0.304844
"Inl_On Record Render Graph";0.245313;0.165468;1.097084;155;80;124;8;8;78.264273032546;0.2608809;0.2175;0.28151;300;1;1;1;300;1;0.165468;1.097084;80;124;0.228177
"PostLateUpdate.ProfilerEndFrame";0.230678;0.153594;0.582864;264;204;246;2;2;73.9841738790274;0.2466139;0.202864;0.277396;300;1;1;1;300;1;0.153594;0.582864;204;246;0.232604
"Profiler.FlushCounters";0.228437;0.152604;0.579115;264;204;246;3;3;73.2561047375202;0.244187;0.200833;0.274791;300;1;1;1;300;1;0.152604;0.579115;204;246;0.23026
"Oculus.VR.dll!::OVRManager.Update() [Invoke]";0.211771;0.151979;0.42026;134;28;205;4;4;65.187254846096;0.2172908;0.191979;0.236615;300;1;1;1;300;1;0.151979;0.42026;28;205;0.2225
"Profiler.FlushMemoryCounters";0.185417;0.12151;0.508177;240;204;246;4;4;59.9197977334261;0.1997327;0.163698;0.224063;300;1;1;1;300;1;0.12151;0.508177;204;246;0.195625
"CullScriptable";0.166458;0.112396;0.879688;94;71;155;7;7;52.4242799505591;0.1747476;0.145208;0.190938;300;1;1;1;300;1;0.112396;0.879688;71;155;0.16849
"Gfx.WaitForRenderThread";0.150729;0.102552;0.415781;228;22;263;4;4;50.1576658934355;0.1671922;0.133906;0.184271;300;1;1;1;300;1;0.102552;0.415781;22;263;0.156302
"Semaphore.WaitForSignal";0.149323;0.000209;0.408177;167;284;263;5;5;49.5001998357911;0.1650007;0.132552;0.18151;300;1;1;1;300;1;0.000209;0.408177;284;263;0.15526
"ExecuteRenderGraph";0.128282;0.07625;0.718125;285;22;169;7;7;44.2838019430637;0.1476127;0.107917;0.160573;300;1;1;1;300;1;0.07625;0.718125;22;169;0.1625
"Inl_Setup Forward Lights";0.1275;0.080052;0.395208;31;22;216;8;8;40.7465719506145;0.1358219;0.111979;0.149011;300;1;1;1;300;1;0.080052;0.395208;22;216;0.129635
"Inl_Setup Light Constants";0.124739;0.078125;0.391146;50;22;216;9;9;39.944637902081;0.1331488;0.109896;0.145677;300;1;1;1;300;1;0.078125;0.391146;22;216;0.127448
"SceneCulling";0.076042;0.04948;0.644636;84;77;155;8;8;24.823187943548;0.08274396;0.065365;0.088854;300;1;1;1;300;1;0.04948;0.644636;77;155;0.090937
"EndRenderQueueExtraction";0.069115;0.04203;0.263958;182;168;155;8;9;22.2510279114358;0.07417009;0.059428;0.079375;600;2;2;2;300;1;0.005625;0.169375;271;155;0.070677
