Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"PlayerLoop";13.85292;12.78886;15.4087;282;192;85;1;1;4159.20941829681;13.86403;13.57557;14.1588;300;1;1;1;300;1;12.78886;15.4087;192;85;13.88552
"EarlyUpdate.XRUpdate";10.54646;9.163334;11.61948;267;86;49;2;2;3162.75098419189;10.5425;10.3338;10.73406;300;1;1;1;300;1;9.163334;11.61948;86;49;10.61234
"PostLateUpdate.FinishFrameRendering";1.668646;1.136406;2.332917;212;17;68;2;2;499.857598662376;1.666192;1.578281;1.769844;300;1;1;1;300;1;1.136406;2.332917;17;68;1.667188
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::RenderPipelineManager.DoRenderLoop_Internal() [Invoke]";1.574062;1.06599;2.199324;52;17;68;3;3;470.769947528839;1.569233;1.484063;1.668073;300;1;1;1;300;1;1.06599;2.199324;17;68;1.581563
"Inl_UniversalRenderTotal";1.533229;1.039948;2.159531;172;17;68;4;4;459.776512026787;1.532588;1.448698;1.623906;300;1;1;1;300;1;1.039948;2.159531;17;68;1.549844
"Inl_RenderCameraStack";1.491615;1.007448;2.100782;196;17;68;5;5;446.262332677841;1.487541;1.401198;1.575469;300;1;1;1;300;1;1.007448;2.100782;17;68;1.504375
"Inl_UniversalRenderPipeline.RenderSingleCameraInternal: CenterEyeAnchor";1.004687;0.678021;1.513073;277;32;193;6;6;301.330023527145;1.004433;0.92724;1.075833;300;1;1;1;300;1;0.678021;1.513073;32;193;1.016718
"Update.ScriptRunBehaviourUpdate";0.490833;0.329062;1.090469;257;46;85;2;2;151.18106558919;0.5039369;0.453229;0.532813;300;1;1;1;300;1;0.329062;1.090469;46;85;0.499896
"BehaviourUpdate";0.48927;0.327969;1.089427;276;46;85;3;3;150.760383784771;0.5025346;0.450781;0.531042;300;1;1;1;300;1;0.327969;1.089427;46;85;0.498646
"PostLateUpdate.PlayerSendFrameStarted";0.360313;0.238802;0.810156;134;29;104;2;2;112.040799811482;0.3734693;0.329583;0.400157;300;1;1;1;300;1;0.238802;0.810156;29;104;0.346302
"Inl_ExecuteRenderGraph";0.318594;0.22651;0.640782;86;32;148;7;7;98.7337706387043;0.3291126;0.293073;0.352865;300;1;1;1;300;1;0.22651;0.640782;32;148;0.321042
"FrameEvents.XRBeginFrame";0.302344;0.20276;0.748333;257;7;104;3;3;94.189180791378;0.3139639;0.275677;0.337917;300;1;1;1;300;1;0.20276;0.748333;7;104;0.288021
"Inl_RecordRenderGraph";0.260937;0.186355;0.634271;224;17;133;7;7;82.3086015880108;0.274362;0.234219;0.29651;300;1;1;1;300;1;0.186355;0.634271;17;133;0.258593
"Inl_On Record Render Graph";0.24573;0.176094;0.617812;224;17;133;8;8;77.447923719883;0.2581598;0.219948;0.277656;300;1;1;1;300;1;0.176094;0.617812;17;133;0.242448
