Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"PlayerLoop";13.87573;12.70047;15.05443;135;282;91;1;1;4160.3037853241;13.86768;13.5824;14.11406;300;1;1;1;300;1;12.70047;15.05443;282;91;13.87573
"EarlyUpdate.XRUpdate";10.68615;9.752866;11.87068;265;166;83;2;2;3216.51641082764;10.72172;10.42026;10.9988;300;1;1;1;300;1;9.752866;11.87068;166;83;10.27271
"PostLateUpdate.FinishFrameRendering";1.540521;1.029323;2.188542;197;76;136;2;2;457.129417181015;1.523765;1.397396;1.664896;300;1;1;1;300;1;1.029323;2.188542;76;136;1.784428
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::RenderPipelineManager.DoRenderLoop_Internal() [Invoke]";1.448282;0.966667;2.031614;220;76;136;3;3;429.766390502453;1.432555;1.310834;1.552552;300;1;1;1;300;1;0.966667;2.031614;76;136;1.486042
"Inl_UniversalRenderTotal";1.418333;0.941406;1.983854;200;76;136;4;4;419.928583264351;1.399762;1.281823;1.520208;300;1;1;1;300;1;0.941406;1.983854;76;136;1.447396
"Inl_RenderCameraStack";1.372968;0.910208;1.933594;163;76;136;5;5;407.007234692574;1.356691;1.241666;1.470364;300;1;1;1;300;1;0.910208;1.933594;76;136;1.395782
"Inl_UniversalRenderPipeline.RenderSingleCameraInternal: CenterEyeAnchor";0.92724;0.603854;1.49198;171;76;165;6;6;276.577840924263;0.9219261;0.824948;1.008229;300;1;1;1;300;1;0.603854;1.49198;76;165;0.862135
"Update.ScriptRunBehaviourUpdate";0.488282;0.343386;0.897657;131;43;105;2;2;151.970955848694;0.5065699;0.450626;0.547448;300;1;1;1;300;1;0.343386;0.897657;43;105;0.475261
"BehaviourUpdate";0.487135;0.342656;0.894843;168;43;105;3;3;151.429703623056;0.5047657;0.449739;0.545208;300;1;1;1;300;1;0.342656;0.894843;43;105;0.474271
"PostLateUpdate.PlayerSendFrameStarted";0.339896;0.230677;0.688646;271;47;132;2;2;106.732096716762;0.3557737;0.305625;0.392136;300;1;1;1;300;1;0.230677;0.688646;47;132;0.362448
"Inl_ExecuteRenderGraph";0.306615;0.200209;0.772656;211;128;165;7;7;95.4169856458902;0.3180566;0.28125;0.348125;300;1;1;1;300;1;0.200209;0.772656;128;165;0.325417
"FrameEvents.XRBeginFrame";0.285209;0.193802;0.546511;218;47;132;3;3;89.514069840312;0.2983802;0.25724;0.3275;300;1;1;1;300;1;0.193802;0.546511;47;132;0.302813
"Inl_RecordRenderGraph";0.233541;0.162187;0.669948;179;76;255;7;7;74.0406737029552;0.2468022;0.210104;0.266875;300;1;1;1;300;1;0.162187;0.669948;76;255;0.212344
"Inl_On Record Render Graph";0.220052;0.152136;0.651406;179;76;255;8;8;69.7211617976427;0.2324039;0.19724;0.252812;300;1;1;1;300;1;0.152136;0.651406;76;255;0.199062
"Oculus.VR.dll!::OVRManager.Update() [Invoke]";0.215885;0.153646;0.485782;81;44;206;4;4;67.868914976716;0.2262297;0.203906;0.23776;300;1;1;1;300;1;0.153646;0.485782;44;206;0.209896
"Inl_ScriptableRenderContext.Submit";0.212968;0.135208;0.588281;45;128;136;6;6;66.2492128163576;0.2208307;0.190625;0.238698;300;1;1;1;300;1;0.135208;0.588281;128;136;0.25224
"PostLateUpdate.ProfilerEndFrame";0.198073;0.122656;0.520886;220;233;129;2;2;64.8917207121849;0.2163057;0.181771;0.229114;300;1;1;1;300;1;0.122656;0.520886;233;129;0.191093
"Profiler.FlushCounters";0.196302;0.121719;0.518438;2;233;129;3;3;64.3223077952862;0.2144077;0.179479;0.227448;300;1;1;1;300;1;0.121719;0.518438;233;129;0.189167
"meta.xr.mrutilitykit.dll!Meta.XR.MRUtilityKit::MRUK.Update() [Invoke]";0.163698;0.108698;0.36625;81;59;211;4;4;52.8721969276667;0.1762407;0.150104;0.19125;300;1;1;1;300;1;0.108698;0.36625;59;211;0.163125
"Profiler.FlushMemoryCounters";0.157031;0.092865;0.486979;194;233;275;4;4;51.4341779574752;0.1714473;0.141771;0.180833;300;1;1;1;300;1;0.092865;0.486979;233;275;0.156458
"Gfx.WaitForRenderThread";0.141927;0.102917;0.361198;4;47;201;4;4;46.383976817131;0.1546133;0.128542;0.165885;300;1;1;1;300;1;0.102917;0.361198;47;201;0.164844
"Semaphore.WaitForSignal";0.140573;0.101876;0.359844;67;47;201;5;5;46.0019828304648;0.1533399;0.127448;0.164688;300;1;1;1;300;1;0.101876;0.359844;47;201;0.162917
"CullScriptable";0.127916;0.087291;0.350521;192;76;279;7;7;41.7361509650946;0.1391205;0.115729;0.150156;300;1;1;1;300;1;0.087291;0.350521;76;279;0.121198
"Inl_Setup Forward Lights";0.119635;0.077083;0.550313;252;128;165;8;8;37.9971868768334;0.1266573;0.106563;0.135;300;1;1;1;300;1;0.077083;0.550313;128;165;0.124427
"Inl_Setup Light Constants";0.117396;0.075625;0.545052;89;128;165;9;9;37.1355249509215;0.1237851;0.10401;0.132396;300;1;1;1;300;1;0.075625;0.545052;128;165;0.122448
