Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"PlayerLoop";13.88693;12.19125;14.92787;51;72;30;1;1;4158.34906196594;13.86116;13.57646;14.15505;300;1;1;1;300;1;12.19125;14.92787;72;30;13.87115
"EarlyUpdate.XRUpdate";10.62688;9.185209;11.29073;276;72;23;2;2;3187.45987606049;10.62487;10.44833;10.83261;300;1;1;1;300;1;9.185209;11.29073;72;23;10.39443
"PostLateUpdate.FinishFrameRendering";1.591875;1.262135;2.161459;52;27;59;2;2;482.27311205864;1.607577;1.523959;1.675729;300;1;1;1;300;1;1.262135;2.161459;27;59;1.743594
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::RenderPipelineManager.DoRenderLoop_Internal() [Invoke]";1.500313;1.179635;2.07474;129;27;59;3;3;453.53052687645;1.511768;1.431354;1.57323;300;1;1;1;300;1;1.179635;2.07474;27;59;1.65776
"Inl_UniversalRenderTotal";1.463698;1.150208;2.045677;265;27;59;4;4;442.81894505024;1.476063;1.396511;1.532396;300;1;1;1;300;1;1.150208;2.045677;27;59;1.620833
"Inl_RenderCameraStack";1.417084;1.112656;2.005053;268;27;59;5;5;429.392643809319;1.431309;1.352396;1.48823;300;1;1;1;300;1;1.112656;2.005053;27;59;1.578177
"Inl_UniversalRenderPipeline.RenderSingleCameraInternal: CenterEyeAnchor";0.951771;0.704687;1.553229;233;2;59;6;6;291.304703533649;0.9710157;0.914635;1.01724;300;1;1;1;300;1;0.704687;1.553229;2;59;1.120937
"Update.ScriptRunBehaviourUpdate";0.497761;0.339271;1.239323;44;12;71;2;2;152.571847259998;0.5085728;0.459115;0.540156;300;1;1;1;300;1;0.339271;1.239323;12;71;0.482292
"BehaviourUpdate";0.496822;0.33849;1.238125;144;12;71;3;3;152.154238849878;0.5071808;0.458073;0.538907;300;1;1;1;300;1;0.33849;1.238125;12;71;0.480573
"PostLateUpdate.PlayerSendFrameStarted";0.334166;0.223802;0.766094;197;22;109;2;2;104.050791606307;0.346836;0.308281;0.372344;300;1;1;1;300;1;0.223802;0.766094;22;109;0.295625
"Inl_ExecuteRenderGraph";0.314688;0.253958;0.504115;256;2;113;7;7;96.87230271101;0.3229077;0.292813;0.341354;300;1;1;1;300;1;0.253958;0.504115;2;113;0.322761
"FrameEvents.XRBeginFrame";0.279011;0.185052;0.710937;79;22;109;3;3;87.3185338675976;0.2910618;0.258177;0.307604;300;1;1;1;300;1;0.185052;0.710937;22;109;0.238854
"Inl_RecordRenderGraph";0.250989;0.175469;0.806875;8;2;59;7;7;78.7624636888504;0.2625415;0.232187;0.280052;300;1;1;1;300;1;0.175469;0.806875;2;59;0.241771
"Inl_On Record Render Graph";0.237552;0.165208;0.779948;234;2;59;8;8;74.3118607699871;0.2477062;0.21849;0.262604;300;1;1;1;300;1;0.165208;0.779948;2;59;0.226146
"Oculus.VR.dll!::OVRManager.Update() [Invoke]";0.223125;0.155834;0.448958;123;22;205;4;4;69.8623948842287;0.2328746;0.21099;0.238385;300;1;1;1;300;1;0.155834;0.448958;22;205;0.239063
"Inl_ScriptableRenderContext.Submit";0.221406;0.168906;0.474323;251;27;33;6;6;68.9027799218893;0.2296759;0.208021;0.239375;300;1;1;1;300;1;0.168906;0.474323;27;33;0.233593
"PostLateUpdate.ProfilerEndFrame";0.20875;0.140104;0.544896;103;232;57;2;2;66.9651987701654;0.2232173;0.191927;0.240834;300;1;1;1;300;1;0.140104;0.544896;232;57;0.252084
"Profiler.FlushCounters";0.20724;0.139219;0.541615;92;232;57;3;3;66.4090198427439;0.2213634;0.190572;0.238958;300;1;1;1;300;1;0.139219;0.541615;232;57;0.250313
"Profiler.FlushMemoryCounters";0.165208;0.106823;0.394687;147;232;140;4;4;54.027249917388;0.1800908;0.153386;0.195313;300;1;1;1;300;1;0.106823;0.394687;232;140;0.215833
"meta.xr.mrutilitykit.dll!Meta.XR.MRUtilityKit::MRUK.Update() [Invoke]";0.158073;0.095052;0.392708;85;24;133;4;4;50.272968865931;0.1675766;0.143855;0.178177;300;1;1;1;300;1;0.095052;0.392708;24;133;0.136302
"CullScriptable";0.150573;0.099166;0.310052;113;5;40;7;7;47.1573427915573;0.1571911;0.136979;0.167188;300;1;1;1;300;1;0.099166;0.310052;5;40;0.304011
"Gfx.WaitForRenderThread";0.149583;0.103125;0.547865;182;22;109;4;4;47.6745247542858;0.1589151;0.136406;0.166094;300;1;1;1;300;1;0.103125;0.547865;22;109;0.126042
"Semaphore.WaitForSignal";0.148281;0.102239;0.546719;124;22;109;5;5;47.2540188580751;0.1575134;0.135312;0.164792;300;1;1;1;300;1;0.102239;0.546719;22;109;0.124948
"Inl_Setup Forward Lights";0.120573;0.092708;0.278907;9;274;186;8;8;37.5250578820705;0.1250835;0.111406;0.132343;300;1;1;1;300;1;0.092708;0.278907;274;186;0.12698
"ExecuteRenderGraph";0.119375;0.090052;0.305781;134;27;16;7;7;37.5087479203939;0.1250292;0.110834;0.131823;300;1;1;1;300;1;0.090052;0.305781;27;16;0.121302
"Inl_Setup Light Constants";0.118594;0.090312;0.276615;217;274;186;9;9;36.8187019154429;0.122729;0.109219;0.129844;300;1;1;1;300;1;0.090312;0.276615;274;186;0.125052
"SceneCulling";0.078437;0.049531;0.214688;233;5;41;8;8;25.0982209891081;0.08366074;0.070625;0.089688;300;1;1;1;300;1;0.049531;0.214688;5;41;0.08427
"PreUpdate.NewInputUpdate";0.059531;0.03849;0.218646;156;22;135;2;2;19.641092967242;0.06547031;0.051823;0.069792;300;1;1;1;300;1;0.03849;0.218646;22;135;0.090625
"Inl_Forward+ Upload";0.057761;0.037031;0.219843;255;274;186;10;10;18.1760819554329;0.06058694;0.05276;0.064584;300;1;1;1;300;1;0.037031;0.219843;274;186;0.063385
"Inl_Forward+ Setup";0.046406;0.032917;0.376302;56;2;59;9;9;15.6295409798622;0.05209847;0.04276;0.055208;300;1;1;1;300;1;0.032917;0.376302;2;59;0.046406
"CullResults.CreateSharedRendererScene";0.044011;0.028646;0.16849;195;17;40;8;8;14.0369369573891;0.04678979;0.04026;0.049375;300;1;1;1;300;1;0.028646;0.16849;17;40;0.042813
"EndRenderQueueExtraction";0.043907;0.026979;0.1625;122;9;40;8;9;14.0625099721365;0.04687503;0.040261;0.047968;600;2;2;2;300;1;0.004322;0.153437;247;40;0.042292
"UnityEngine.InputModule.dll!UnityEngineInternal.Input::NativeInputSystem.NotifyUpdate() [Invoke]";0.036198;0.025053;0.158281;130;22;241;3;4;11.4152079848573;0.03805069;0.033541;0.039114;600;2;2;2;300;1;0.008542;0.109843;4;76;0.036354
"UnityEngine.InputModule.dll!UnityEngineInternal.Input::NativeInputSystem.NotifyBeforeUpdate() [Invoke]";0.035522;0.02427;0.191719;194;22;123;3;4;11.921667970717;0.03973889;0.032136;0.039375;600;2;2;2;300;1;0.002083;0.188646;4;123;0.05401
"Oculus.VR.dll!::OVRCameraRig.Update() [Invoke]";0.03401;0.024948;0.176146;159;25;71;4;4;11.0469829533249;0.03682328;0.030312;0.038698;300;1;1;1;300;1;0.024948;0.176146;25;71;0.042916
"Inl_RenderPipeline.BeginCameraRendering";0.03401;0.022188;0.156406;298;2;179;6;6;10.570988997817;0.03523663;0.029584;0.038125;300;1;1;1;300;1;0.022188;0.156406;2;179;0.034063
"Shadows.PrepareDrawShadows";0.033958;0.02547;0.126043;157;35;33;7;7;11.1952729555778;0.03731758;0.031041;0.038021;600;2;2;2;300;1;0.005834;0.114688;35;33;0.038958
"Inl_UniversalRenderPipeline.CreateCameraData";0.033854;0.022865;0.067917;251;1;260;6;6;10.6640529856086;0.03554684;0.030365;0.039115;300;1;1;1;300;1;0.022865;0.067917;1;260;0.036407
"InputUpdate";0.033125;0.022917;0.147135;35;5;241;4;5;10.4486949625425;0.03482898;0.03052;0.035834;600;2;2;2;300;1;0.007604;0.107604;5;76;0.033281
"Draw Main Light Shadowmap";0.030782;0.017032;0.140678;52;21;201;8;8;9.93822498805821;0.03312742;0.026979;0.03625;300;1;1;1;300;1;0.017032;0.140678;21;201;0.032031
"MainLightShadow";0.029115;0.015885;0.138437;111;21;201;9;9;9.42261596955359;0.03140872;0.025469;0.034479;300;1;1;1;300;1;0.015885;0.138437;21;201;0.030469
"WaitForJobGroupID";0.028437;0.015416;0.148125;254;33;40;8;10;9.43198195740115;0.03143994;0.025104;0.033334;498;1;1;6;300;1;0.001511;0.148125;43;40;0.025625
"FrameEvents.OnBeforeRenderCallback";0.026823;0.016719;0.063542;231;24;296;3;3;8.41516198962927;0.02805054;0.025104;0.029427;300;1;1;1;300;1;0.016719;0.063542;24;296;0.033958
"Inl_UniversalRenderPipeline.ComputeShadowCasterCullingInfos";0.026666;0.019218;0.082917;14;2;23;7;7;8.57260498963296;0.02857535;0.024844;0.029532;300;1;1;1;300;1;0.019218;0.082917;2;23;0.029323
"Inl_Setup Camera Properties";0.026354;0.018802;0.054063;151;27;11;8;8;8.23988697817549;0.02746629;0.02526;0.028438;600;2;2;2;300;1;0.003385;0.047865;27;11;0.028229
"Shadows.ExecuteDrawShadows";0.025573;0.013594;0.135261;154;21;201;10;10;8.29953799396753;0.02766513;0.022239;0.030937;300;1;1;1;300;1;0.013594;0.135261;21;201;0.027448
"EndGraphicsJobs";0.025417;0.017031;0.154687;251;24;102;3;4;8.17156198845987;0.02723854;0.023125;0.028334;1200;4;4;4;300;1;5.2E-05;0.154271;4;102;0.021458
"UnityEngine.CoreModule.dll!UnityEngine::Application.InvokeOnBeforeRender() [Invoke]";0.025365;0.015989;0.061511;20;24;296;4;4;7.97786497697234;0.02659288;0.02375;0.028073;300;1;1;1;300;1;0.015989;0.061511;24;296;0.032812
"PreLateUpdate.EndGraphicsJobsAfterScriptUpdate";0.025313;0.016875;0.154843;154;24;102;2;2;8.14058097451925;0.02713527;0.023021;0.028229;300;1;1;1;300;1;0.016875;0.154843;24;102;0.021302
"Inl_UniversalRenderPipeline.CreateRenderingData";0.02526;0.017813;0.101719;65;24;109;7;7;8.19083198159933;0.02730277;0.023125;0.028021;300;1;1;1;300;1;0.017813;0.101719;24;109;0.051511
