Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"PlayerLoop";13.83901;10.95375;16.3451;176;84;83;1;1;4160.79035282135;13.8693;13.6112;14.11719;300;1;1;1;300;1;10.95375;16.3451;84;83;13.8375
"EarlyUpdate.XRUpdate";10.56636;7.774115;11.67448;158;84;20;2;2;3188.04864740372;10.62683;10.32203;10.95531;300;1;1;1;300;1;7.774115;11.67448;84;20;10.65042
"PostLateUpdate.FinishFrameRendering";1.607448;1.084323;3.37849;133;16;83;2;2;479.415524244308;1.598052;1.407292;1.738281;300;1;1;1;300;1;1.084323;3.37849;16;83;1.539948
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::RenderPipelineManager.DoRenderLoop_Internal() [Invoke]";1.507448;1.021927;3.130053;294;16;83;3;3;450.498266339302;1.501661;1.332135;1.636875;300;1;1;1;300;1;1.021927;3.130053;16;83;1.460209
"Inl_UniversalRenderTotal";1.47151;0.998958;3.078229;181;16;83;4;4;440.46452999115;1.468215;1.300729;1.60724;300;1;1;1;300;1;0.998958;3.078229;16;83;1.431875
"Inl_RenderCameraStack";1.428125;0.970417;2.99323;214;16;83;5;5;427.818431615829;1.426061;1.264791;1.564688;300;1;1;1;300;1;0.970417;2.99323;16;83;1.394375
"Inl_UniversalRenderPipeline.RenderSingleCameraInternal: CenterEyeAnchor";0.944271;0.660521;1.902969;171;79;83;6;6;286.909400045872;0.9563647;0.841458;1.063802;300;1;1;1;300;1;0.660521;1.902969;79;83;0.93974
"Update.ScriptRunBehaviourUpdate";0.505938;0.33125;0.754167;199;16;202;2;2;152.577613413334;0.5085921;0.45276;0.560156;300;1;1;1;300;1;0.33125;0.754167;16;202;0.527344
"BehaviourUpdate";0.504636;0.330573;0.752656;185;16;202;3;3;152.185646533966;0.5072855;0.451823;0.558802;300;1;1;1;300;1;0.330573;0.752656;16;202;0.526615
"PostLateUpdate.PlayerSendFrameStarted";0.352239;0.2275;0.73599;112;21;83;2;2;107.941369831562;0.3598046;0.31052;0.398281;300;1;1;1;300;1;0.2275;0.73599;21;83;0.347969
"Inl_ExecuteRenderGraph";0.323125;0.208958;0.86375;120;79;106;7;7;100.931627884507;0.3364387;0.277031;0.374011;300;1;1;1;300;1;0.208958;0.86375;79;106;0.369843
"FrameEvents.XRBeginFrame";0.294584;0.193646;0.615053;112;32;195;3;3;90.8771511018276;0.3029238;0.26;0.33099;300;1;1;1;300;1;0.193646;0.615053;32;195;0.295417
