Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"PlayerLoop";13.87354;9.314064;15.98047;99;63;62;1;1;4158.28685951233;13.86096;13.53927;14.18;300;1;1;1;300;1;9.314064;15.98047;63;62;13.87354
"EarlyUpdate.XRUpdate";10.46484;6.329741;11.98922;232;63;67;2;2;3147.6264462471;10.49209;10.14557;10.87583;300;1;1;1;300;1;6.329741;11.98922;63;67;10.97229
"PostLateUpdate.FinishFrameRendering";1.661615;1.073437;2.780105;298;8;62;2;2;502.47968685627;1.674932;1.495782;1.83125;300;1;1;1;300;1;1.073437;2.780105;8;62;1.496406
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::RenderPipelineManager.DoRenderLoop_Internal() [Invoke]";1.561719;1.009792;2.537292;174;8;62;3;3;470.894524812698;1.569648;1.411042;1.720365;300;1;1;1;300;1;1.009792;2.537292;8;62;1.419479
"Inl_UniversalRenderTotal";1.521094;0.983854;2.469479;154;8;62;4;4;459.043802917004;1.530146;1.371927;1.672917;300;1;1;1;300;1;0.983854;2.469479;8;62;1.388594
"Inl_RenderCameraStack";1.469115;0.953073;2.39349;291;8;62;5;5;444.358784556389;1.481196;1.328125;1.619271;300;1;1;1;300;1;0.953073;2.39349;8;62;1.351458
"Inl_UniversalRenderPipeline.RenderSingleCameraInternal: CenterEyeAnchor";0.971667;0.634115;1.612083;96;8;287;6;6;295.034616827965;0.9834487;0.873646;1.073021;300;1;1;1;300;1;0.634115;1.612083;8;287;0.893281
"Update.ScriptRunBehaviourUpdate";0.500052;0.334063;1.09724;207;58;297;2;2;153.529327809811;0.5117644;0.469792;0.548281;300;1;1;1;300;1;0.334063;1.09724;58;297;0.462657
"BehaviourUpdate";0.498594;0.333541;1.094792;150;58;297;3;3;153.139817804098;0.510466;0.468385;0.546511;300;1;1;1;300;1;0.333541;1.094792;58;297;0.461354
"PostLateUpdate.PlayerSendFrameStarted";0.347448;0.221667;0.826718;217;58;287;2;2;108.534646660089;0.3617822;0.319531;0.386615;300;1;1;1;300;1;0.221667;0.826718;58;287;0.291771
"Inl_ExecuteRenderGraph";0.305885;0.207135;0.725729;158;8;189;7;7;98.5162178128958;0.3283874;0.280729;0.349219;300;1;1;1;300;1;0.207135;0.725729;8;189;0.335678
"FrameEvents.XRBeginFrame";0.289427;0.188333;0.743125;272;58;287;3;3;90.4440577328205;0.3014802;0.2675;0.325677;300;1;1;1;300;1;0.188333;0.743125;58;287;0.246146
"Inl_RecordRenderGraph";0.249219;0.174271;0.592187;117;58;226;7;7;79.679068505764;0.2655969;0.222969;0.28948;300;1;1;1;300;1;0.174271;0.592187;58;226;0.223177
"PostLateUpdate.ProfilerEndFrame";0.240157;0.115365;1.271927;246;58;62;2;2;77.3928699791431;0.2579762;0.195417;0.299271;300;1;1;1;300;1;0.115365;1.271927;58;62;0.182448
"Profiler.FlushCounters";0.238125;0.113959;1.267188;80;58;62;3;3;76.7647388651967;0.2558825;0.193958;0.296771;300;1;1;1;300;1;0.113959;1.267188;58;62;0.180781
"Inl_ScriptableRenderContext.Submit";0.236042;0.14349;0.783229;144;22;191;6;6;75.7192247658968;0.2523974;0.210104;0.272291;300;1;1;1;300;1;0.14349;0.783229;22;191;0.256459
"Inl_On Record Render Graph";0.235625;0.163125;0.574167;137;63;226;8;8;75.1328776776791;0.2504429;0.209375;0.273386;300;1;1;1;300;1;0.163125;0.574167;63;226;0.209792
"Oculus.VR.dll!::OVRManager.Update() [Invoke]";0.2175;0.150521;0.591302;146;58;297;4;4;66.7874006927013;0.2226247;0.209688;0.232916;300;1;1;1;300;1;0.150521;0.591302;58;297;0.209427
"Profiler.FlushMemoryCounters";0.189532;0.090625;0.492604;113;58;62;4;4;61.4661018848419;0.204887;0.156875;0.233438;300;1;1;1;300;1;0.090625;0.492604;58;62;0.149792
"meta.xr.mrutilitykit.dll!Meta.XR.MRUtilityKit::MRUK.Update() [Invoke]";0.167344;0.110521;0.528593;143;15;251;4;4;52.3933378532529;0.1746445;0.15323;0.190834;300;1;1;1;300;1;0.110521;0.528593;15;251;0.155937
"CullScriptable";0.15;0.091354;0.404427;167;63;287;7;7;47.1308909058571;0.157103;0.130833;0.17;300;1;1;1;300;1;0.091354;0.404427;63;287;0.129219
"Gfx.WaitForRenderThread";0.144635;0.098854;0.44474;132;63;287;4;4;46.6764098331332;0.155588;0.135312;0.164896;300;1;1;1;300;1;0.098854;0.44474;63;287;0.123958
"Semaphore.WaitForSignal";0.143281;0.097969;0.441719;280;63;287;5;5;46.2442709803581;0.1541476;0.133906;0.16375;300;1;1;1;300;1;0.097969;0.441719;63;287;0.122865
"ExecuteRenderGraph";0.126458;0.076771;0.524584;152;22;225;7;7;42.0450018495321;0.14015;0.111875;0.147292;300;1;1;1;300;1;0.076771;0.524584;22;225;0.160782
"Inl_Setup Forward Lights";0.120469;0.083229;0.354115;296;22;179;8;8;39.18901591748;0.13063;0.110938;0.136667;300;1;1;1;300;1;0.083229;0.354115;22;179;0.136667
"Inl_Setup Light Constants";0.118177;0.081094;0.351563;191;22;179;9;9;38.4342219382524;0.1281141;0.10875;0.134375;300;1;1;1;300;1;0.081094;0.351563;22;179;0.134375
"SceneCulling";0.073855;0.045208;0.25375;116;63;234;8;8;24.0538569018245;0.08017952;0.064584;0.084896;300;1;1;1;300;1;0.045208;0.25375;63;234;0.0625
"Inl_Forward+ Upload";0.058437;0.036823;0.276146;149;22;179;10;10;19.235459908843;0.0641182;0.052135;0.068438;300;1;1;1;300;1;0.036823;0.276146;22;179;0.071979
"PreUpdate.NewInputUpdate";0.05698;0.036875;0.163646;221;58;229;2;2;18.435729958117;0.06145243;0.05125;0.067083;300;1;1;1;300;1;0.036875;0.163646;58;229;0.051823
"EndRenderQueueExtraction";0.051198;0.026145;0.383907;97;22;191;8;9;16.4581809593365;0.0548606;0.045156;0.058386;600;2;2;2;300;1;0.005677;0.349636;22;191;0.041719
"CullResults.CreateSharedRendererScene";0.047187;0.028958;0.144687;297;22;237;8;8;14.9368789102882;0.0497896;0.040886;0.054948;300;1;1;1;300;1;0.028958;0.144687;22;237;0.04401
"Inl_Forward+ Setup";0.046198;0.031146;0.272917;91;63;199;9;9;16.2739619556814;0.05424654;0.042083;0.055469;300;1;1;1;300;1;0.031146;0.272917;63;199;0.04349
"Shadows.PrepareDrawShadows";0.038385;0.022188;0.429583;125;22;191;7;7;13.0571459829807;0.04352382;0.032708;0.045625;600;2;2;2;300;1;0.006875;0.376614;22;191;0.030937
"UnityEngine.InputModule.dll!UnityEngineInternal.Input::NativeInputSystem.NotifyUpdate() [Invoke]";0.037968;0.02526;0.094531;239;58;231;3;4;12.1411959482357;0.04047065;0.034793;0.043176;600;2;2;2;300;1;0.008646;0.070521;27;231;0.035156
"WaitForJobGroupID";0.037551;0.013698;0.162135;112;11;230;9;10;12.078644992318;0.04026215;0.031823;0.043802;678;2;1;5;300;1;0.001041;0.114375;5;230;0.026823
"InputUpdate";0.034844;0.023281;0.090782;217;58;231;4;5;11.1652509844862;0.0372175;0.031874;0.039844;600;2;2;2;300;1;0.007761;0.068594;27;231;0.032083
"Inl_RenderPipeline.BeginCameraRendering";0.034375;0.022709;0.228542;220;35;189;6;6;11.3061949685216;0.03768732;0.029792;0.040416;300;1;1;1;300;1;0.022709;0.228542;35;189;0.031875
"Inl_UniversalRenderPipeline.CreateCameraData";0.034114;0.022657;0.1;96;8;180;6;6;10.7991689834744;0.03599723;0.029375;0.040208;300;1;1;1;300;1;0.022657;0.1;8;180;0.032084
"UnityEngine.InputModule.dll!UnityEngineInternal.Input::NativeInputSystem.NotifyBeforeUpdate() [Invoke]";0.033385;0.023073;0.136771;136;58;229;3;4;10.7737029683776;0.03591234;0.030886;0.036771;600;2;2;2;300;1;0.001979;0.133073;27;229;0.030261
"Draw Main Light Shadowmap";0.033333;0.016355;0.166093;34;46;239;8;8;10.8072859700769;0.03602429;0.026979;0.039479;300;1;1;1;300;1;0.016355;0.166093;46;239;0.03849
"Oculus.VR.dll!::OVRCameraRig.Update() [Invoke]";0.033177;0.023594;0.093282;132;58;295;4;4;10.7088080178946;0.03569603;0.030989;0.038073;300;1;1;1;300;1;0.023594;0.093282;58;295;0.03125
