Type,Count,Allocated(MB),Resident(MB)
"System.String",4074,0.341,0.341
"UnityEngine.InputSystem.Controls.KeyControl",610,0.191,0.191
"System.Int32[]",455,0.071,0.071
"System.Func<System.Object>",569,0.069,0.069
"UnityEngine.Rendering.RenderGraphModule.RenderGraph.CompiledPassInfo[]",21,0.057,0.057
"UnityEngine.InputSystem.Controls.AxisControl",190,0.055,0.055
"UnityEngine.Rendering.DebugUI.Value",565,0.052,0.052
"UnityEngine.Rendering.RenderGraphModule.RenderGraph.CompiledResourceInfo[]",63,0.048,0.048
"UnityEngine.Rendering.ListChangedEventHandler<UnityEngine.Rendering.DebugUI.Widget>",260,0.032,0.032
"System.Func<System.Boolean>",167,0.020,0.020
"UnityEngine.InputSystem.Controls.ButtonControl",65,0.020,0.020
"UnityEngine.InputSystem.InputDevice.ControlBitRangeNode[]",12,0.014,0.014
"System.RuntimeType",299,0.014,0.014
"System.Collections.Generic.Dictionary.Entry<Unity.Properties.ConversionRegistry.ConverterKey,System.Delegate>[]",1,0.013,0.013
"UnityEngine.Rendering.RTHandle",75,0.013,0.013
"System.Collections.Generic.Dictionary.Entry<UnityEngine.UIElements.TypeConverterRegistry.ConverterKey,System.Delegate>[]",2,0.012,0.012
"UnityEngine.Rendering.RendererList[]",5,0.012,0.012
"UnityEngine.Rendering.DebugUI.Widget[]",141,0.012,0.012
"System.String[]",220,0.012,0.012
"UnityEngine.Rendering.DebugUI.Table.Row",90,0.011,0.011
"UnityEngine.InputSystem.InputControl[]",34,0.011,0.011
"UnityEngine.GUIContent",195,0.010,0.010
"UnityEngine.Vector4[]",19,0.010,0.010
"OVRPlugin.GetBoneSkeleton3Delegate",84,0.010,0.010
"UnityEngine.Rendering.RenderGraphModule.NativeRenderPassCompiler.Name[]",85,0.010,0.010
"UnityEngine.Rendering.RenderGraphModule.RendererListResource[]",1,0.010,0.010
"System.Char[]",112,0.010,0.010
"UnityEngine.Profiling.Recorder",291,0.009,0.009
"UnityEngine.InputSystem.Controls.Vector3Control",30,0.009,0.009
"System.Collections.Generic.HashSet.Slot<System.Int32>[]",12,0.009,0.009
"OVRPlugin.GetBoneSkeleton2Delegate",70,0.009,0.009
"UnityEngine.Rendering.VolumeParameter[]",64,0.008,0.008
"UnityEngine.Matrix4x4[]",40,0.008,0.008
"UnityEngine.InputSystem.InputAction",18,0.008,0.008
"System.Reflection.RuntimeAssembly",77,0.007,0.007
"UnityEngine.Profiling.CustomSampler",291,0.007,0.007
"UnityEngine.Rendering.RTHandle[]",75,0.006,0.006
"UnityEngine.Rendering.ClampedFloatParameter",165,0.006,0.006
"System.Text.RegularExpressions.RegexInterpreter",40,0.006,0.006
"System.Func<System.Int32>",47,0.006,0.006
"UnityEngine.InputSystem.Controls.ButtonControl[]",13,0.006,0.006
"UnityEngine.InputSystem.Utilities.InternedString[]",25,0.006,0.006
"System.Collections.Generic.List<UnityEngine.Rendering.DebugUI.Widget>",144,0.005,0.005
"UnityEngine.Rendering.RenderGraphModule.TextureAccess[]",22,0.005,0.005
"System.Action<System.Int32>",42,0.005,0.005
"UnityEngine.Rendering.ObservableList<UnityEngine.Rendering.DebugUI.Widget>",131,0.005,0.005
"UnityEngine.InputSystem.Controls.DiscreteButtonControl",15,0.005,0.005
"UnityEngine.InputSystem.Controls.KeyControl[]",5,0.005,0.005
"System.Collections.Generic.Dictionary.Entry<System.Int32,UnityEngine.Rendering.Universal.ReflectionProbeManager.CachedProbe>[]",1,0.005,0.005
"Mono.Globalization.Unicode.Contraction",105,0.005,0.005
"System.Byte[]",9,0.005,0.005
"System.Text.RegularExpressions.Regex",44,0.005,0.005
"UnityEngine.Rendering.DebugDisplayStats.<>c__DisplayClass19_0<UnityEngine.Rendering.Universal.URPProfileId>",102,0.005,0.005
"UnityEngine.InputSystem.InputManager.StateChangeMonitorListener[]",9,0.005,0.005
"System.Collections.Generic.Dictionary.Entry<System.Int32,System.String>[]",1,0.005,0.005
"System.Collections.Generic.List<UnityEngine.Rendering.RenderGraphModule.ResourceHandle>",110,0.004,0.004
"System.UInt32[]",21,0.004,0.004
"System.Collections.Generic.Dictionary.Entry<UnityEngine.InputSystem.Utilities.InternedString,System.Type>[]",4,0.004,0.004
"System.Collections.Generic.List<UnityEngine.GUIContent>",106,0.004,0.004
"System.Text.RegularExpressions.RegexCode",44,0.004,0.004
"System.Text.RegularExpressions.Match",34,0.004,0.004
"UnityEngine.Rendering.ProfilingSampler",72,0.004,0.004
"UnityEngine.Rendering.RenderTargetIdentifier[]",20,0.004,0.004
"UnityEngine.InputSystem.Controls.IntegerControl",15,0.004,0.004
"UnityEngine.Rendering.RenderGraphModule.RendererListHandle[]",8,0.004,0.004
"UnityEngine.InputSystem.InputBinding[]",10,0.004,0.004
"UnityEngine.Rendering.DebugUI.ValueTuple",42,0.004,0.004
"UnityEngine.Rendering.RenderGraphModule.TextureResource",18,0.003,0.003
