Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"PlayerLoop";13.87662;12.86578;14.80276;44;293;224;1;1;4161.63769054413;13.87213;13.6399;14.10156;300;1;1;1;300;1;12.86578;14.80276;293;224;13.88318
"EarlyUpdate.XRUpdate";10.54823;9.701668;11.32219;198;153;107;2;2;3168.67520999908;10.56225;10.35313;10.7987;300;1;1;1;300;1;9.701668;11.32219;153;107;11.09891
"PostLateUpdate.FinishFrameRendering";1.549584;1.156042;2.367084;127;9;176;2;2;474.32738494873;1.581091;1.448281;1.687761;300;1;1;1;300;1;1.156042;2.367084;9;176;1.303594
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::RenderPipelineManager.DoRenderLoop_Internal() [Invoke]";1.454115;1.088958;2.245834;75;9;176;3;3;445.140985369682;1.483803;1.361302;1.58948;300;1;1;1;300;1;1.088958;2.245834;9;176;1.211979
"Inl_UniversalRenderTotal";1.424636;1.063229;2.203229;144;9;176;4;4;434.671083450317;1.448904;1.332396;1.558385;300;1;1;1;300;1;1.063229;2.203229;9;176;1.185885
"Inl_RenderCameraStack";1.385417;1.032761;2.157604;171;9;176;5;5;422.107027411461;1.407023;1.297344;1.515001;300;1;1;1;300;1;1.032761;2.157604;9;176;1.15375
"Inl_UniversalRenderPipeline.RenderSingleCameraInternal: CenterEyeAnchor";0.916354;0.685625;1.487865;173;196;176;6;6;281.811066687107;0.9393702;0.854844;1.0225;300;1;1;1;300;1;0.685625;1.487865;196;176;0.790469
"Update.ScriptRunBehaviourUpdate";0.582604;0.417709;1.250885;242;104;236;2;2;179.78314191103;0.5992771;0.547865;0.635937;300;1;1;1;300;1;0.417709;1.250885;104;236;0.523229
"BehaviourUpdate";0.581563;0.417187;1.249635;100;104;236;3;3;179.395328909159;0.5979844;0.546667;0.634531;300;1;1;1;300;1;0.417187;1.249635;104;236;0.521562
"PostLateUpdate.PlayerSendFrameStarted";0.346927;0.224271;0.890208;233;155;188;2;2;109.781941562891;0.3659398;0.318073;0.388594;300;1;1;1;300;1;0.224271;0.890208;155;188;0.314948
"Inl_ExecuteRenderGraph";0.310312;0.23375;0.877448;25;196;176;7;7;98.512617751956;0.3283754;0.287709;0.351667;300;1;1;1;300;1;0.23375;0.877448;196;176;0.274166
"FrameEvents.XRBeginFrame";0.289115;0.189792;0.829531;281;155;188;3;3;92.3209419250488;0.3077365;0.266719;0.324896;300;1;1;1;300;1;0.189792;0.829531;155;188;0.267812
