Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"PlayerLoop";13.85417;11.09792;16.4061;145;84;83;1;1;4159.64372730255;13.86548;13.6287;14.11693;300;1;1;1;300;1;11.09792;16.4061;84;83;13.84203
"EarlyUpdate.XRUpdate";10.46438;8.233438;11.7325;170;84;86;2;2;3134.25488185883;10.44752;10.23536;10.66906;300;1;1;1;300;1;8.233438;11.7325;84;86;10.22188
"PostLateUpdate.FinishFrameRendering";1.644375;1.23073;2.512448;63;13;83;2;2;500.306566238403;1.667689;1.544792;1.763021;300;1;1;1;300;1;1.23073;2.512448;13;83;1.684219
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::RenderPipelineManager.DoRenderLoop_Internal() [Invoke]";1.542761;1.16073;2.378334;266;13;83;3;3;469.818233251572;1.566061;1.454948;1.654636;300;1;1;1;300;1;1.16073;2.378334;13;83;1.58099
"Inl_UniversalRenderTotal";1.51;1.131093;2.339011;126;13;83;4;4;459.137551784515;1.530458;1.423282;1.613646;300;1;1;1;300;1;1.131093;2.339011;13;83;1.538959
"Inl_RenderCameraStack";1.470886;1.094844;2.276354;126;13;83;5;5;445.149418354034;1.483831;1.379584;1.558229;300;1;1;1;300;1;1.094844;2.276354;13;83;1.484636
"Inl_UniversalRenderPipeline.RenderSingleCameraInternal: CenterEyeAnchor";0.975416;0.750834;1.574063;161;13;129;6;6;298.410341262817;0.9947011;0.9125;1.054218;300;1;1;1;300;1;0.750834;1.574063;13;129;0.965365
"Update.ScriptRunBehaviourUpdate";0.554896;0.427292;0.96526;115;84;261;2;2;172.800214022398;0.5760007;0.519792;0.618438;300;1;1;1;300;1;0.427292;0.96526;84;261;0.711979
"BehaviourUpdate";0.553333;0.425885;0.963594;131;84;261;3;3;172.382209271193;0.5746074;0.518438;0.615833;300;1;1;1;300;1;0.425885;0.963594;84;261;0.710729
"PostLateUpdate.PlayerSendFrameStarted";0.357084;0.26198;0.648438;122;13;280;2;2;110.141880959272;0.3671396;0.321197;0.398854;300;1;1;1;300;1;0.26198;0.648438;13;280;0.398177
"Inl_ExecuteRenderGraph";0.327396;0.23198;0.631458;269;13;268;7;7;102.355486690998;0.3411849;0.297292;0.36349;300;1;1;1;300;1;0.23198;0.631458;13;268;0.300886
"FrameEvents.XRBeginFrame";0.296094;0.224167;0.585729;86;13;249;3;3;91.5510047525167;0.30517;0.264896;0.328438;300;1;1;1;300;1;0.224167;0.585729;13;249;0.32224
"Inl_RecordRenderGraph";0.247604;0.204427;0.626666;240;89;111;7;7;79.3193788081408;0.2643979;0.228542;0.28625;300;1;1;1;300;1;0.204427;0.626666;89;111;0.28052
"Inl_ScriptableRenderContext.Submit";0.238645;0.17625;0.692917;176;13;72;6;6;76.9594778716564;0.2565316;0.217032;0.268229;300;1;1;1;300;1;0.17625;0.692917;13;72;0.241667
"Inl_On Record Render Graph";0.23349;0.193385;0.614218;49;89;111;8;8;75.027181610465;0.2500906;0.214063;0.270468;300;1;1;1;300;1;0.193385;0.614218;89;111;0.266719
"meta.xr.mrutilitykit.dll!Meta.XR.MRUtilityKit::MRUK.Update() [Invoke]";0.221823;0.171666;0.556354;218;84;261;4;4;70.2011590152979;0.2340039;0.203125;0.248802;300;1;1;1;300;1;0.171666;0.556354;84;261;0.365729
"PostLateUpdate.ProfilerEndFrame";0.218385;0.162916;1.232396;112;15;12;2;2;72.4464708268642;0.2414882;0.197708;0.257657;300;1;1;1;300;1;0.162916;1.232396;15;12;0.269219
"Profiler.FlushCounters";0.216198;0.161094;1.230156;27;15;12;3;3;71.8248877078295;0.2394163;0.195781;0.255885;300;1;1;1;300;1;0.161094;1.230156;15;12;0.265365
"Oculus.VR.dll!::OVRManager.Update() [Invoke]";0.211667;0.169636;0.388854;65;84;244;4;4;66.4415198713541;0.2214717;0.205;0.227188;300;1;1;1;300;1;0.169636;0.388854;84;244;0.223542
"Profiler.FlushMemoryCounters";0.174636;0.132448;1.197396;10;15;12;4;4;58.7190757840872;0.1957303;0.158802;0.203021;300;1;1;1;300;1;0.132448;1.197396;15;12;0.218854
"Gfx.WaitForRenderThread";0.158385;0.118802;0.45526;98;97;249;4;4;50.393646851182;0.1679788;0.140157;0.181927;300;1;1;1;300;1;0.118802;0.45526;97;249;0.176198
"Semaphore.WaitForSignal";0.15724;0.083906;0.452552;98;144;249;5;5;49.7951669879694;0.166539;0.139063;0.180469;300;1;1;2;299;1;0.000209;0.452552;213;249;0.174792
"CullScriptable";0.14599;0.115781;0.454375;43;20;129;7;7;46.7401148527861;0.1558004;0.133386;0.164166;300;1;1;1;300;1;0.115781;0.454375;20;129;0.173281
"ExecuteRenderGraph";0.126667;0.089167;0.45125;202;13;210;7;7;40.7958329170942;0.1359861;0.111666;0.141979;300;1;1;1;300;1;0.089167;0.45125;13;210;0.124636
