Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"PlayerLoop";13.83573;11.98427;15.65901;244;129;128;1;1;4159.26201820374;13.86421;13.55599;14.14912;300;1;1;1;300;128;11.98427;15.65901;129;128;13.83354
"EarlyUpdate.XRUpdate";10.27229;8.842917;11.4038;425;129;228;2;2;3086.76325511932;10.28921;9.982397;10.63229;300;1;1;1;300;128;8.842917;11.4038;129;228;10.14703
"PostLateUpdate.FinishFrameRendering";1.643906;1.13401;2.462657;342;227;252;2;2;496.935101509094;1.65645;1.51375;1.801042;300;1;1;1;300;128;1.13401;2.462657;227;252;1.697188
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::RenderPipelineManager.DoRenderLoop_Internal() [Invoke]";1.548438;1.069688;2.369636;327;227;252;3;3;466.799122929573;1.555997;1.425;1.697709;300;1;1;1;300;128;1.069688;2.369636;227;252;1.577136
"Inl_UniversalRenderTotal";1.511667;1.046094;2.320782;349;227;252;4;4;456.004926681519;1.520016;1.393594;1.65698;300;1;1;1;300;128;1.046094;2.320782;227;252;1.53849
"Inl_RenderCameraStack";1.461406;1.016562;2.234062;267;227;252;5;5;441.876707434654;1.472922;1.348386;1.606094;300;1;1;1;300;128;1.016562;2.234062;227;252;1.489583
"Inl_UniversalRenderPipeline.RenderSingleCameraInternal: CenterEyeAnchor";0.958125;0.687657;1.715052;414;204;252;6;6;292.563688099384;0.9752123;0.880834;1.053802;300;1;1;1;300;128;0.687657;1.715052;204;252;0.978281
"Update.ScriptRunBehaviourUpdate";0.716979;0.460313;1.218698;265;204;420;2;2;218.61912932992;0.7287304;0.649114;0.799532;300;1;1;1;300;128;0.460313;1.218698;204;420;0.699375
"BehaviourUpdate";0.715938;0.459584;1.217396;265;204;420;3;3;218.200387686491;0.7273346;0.648178;0.798073;300;1;1;1;300;128;0.459584;1.217396;204;420;0.698021
"PostLateUpdate.PlayerSendFrameStarted";0.372292;0.248333;0.719479;206;143;307;2;2;116.602726712823;0.3886757;0.330261;0.433177;300;1;1;1;300;128;0.248333;0.719479;143;307;0.35625
"meta.xr.mrutilitykit.dll!Meta.XR.MRUtilityKit::MRUK.Update() [Invoke]";0.333333;0.194219;0.633698;169;204;408;4;4;103.194632515311;0.3439821;0.287708;0.386458;300;1;1;1;300;128;0.194219;0.633698;204;408;0.279166
"Inl_ExecuteRenderGraph";0.30625;0.221302;0.982396;366;204;252;7;7;96.0196786373854;0.3200656;0.28349;0.336406;300;1;1;1;300;128;0.221302;0.982396;204;252;0.275625
"FrameEvents.XRBeginFrame";0.304792;0.207812;0.63849;244;143;348;3;3;95.5744829922915;0.3185816;0.274115;0.350729;300;1;1;1;300;128;0.207812;0.63849;143;348;0.284063
"Inl_ScriptableRenderContext.Submit";0.253073;0.154531;0.678281;401;227;343;6;6;79.9407857656479;0.2664693;0.22901;0.288125;300;1;1;1;300;128;0.154531;0.678281;227;343;0.2425
"Inl_RecordRenderGraph";0.240781;0.176614;0.767969;194;143;264;7;7;76.2603186815977;0.2542011;0.22151;0.277709;300;1;1;1;300;128;0.176614;0.767969;143;264;0.233229
"PostLateUpdate.ProfilerEndFrame";0.232761;0.130052;0.469375;132;170;384;2;2;74.2389219254255;0.2474631;0.207188;0.282604;300;1;1;1;300;128;0.130052;0.469375;170;384;0.234115
"Profiler.FlushCounters";0.230417;0.128959;0.466979;321;170;384;3;3;73.534070879221;0.2451136;0.205625;0.279948;300;1;1;1;300;128;0.128959;0.466979;170;384;0.232031
"Inl_On Record Render Graph";0.227032;0.165834;0.751927;367;143;264;8;8;71.7848499566317;0.2392828;0.209271;0.25974;300;1;1;1;300;128;0.165834;0.751927;143;264;0.220625
