NameOfObject,Type,Allocated(MB),Resident(MB)
"XR Texture [6]","RenderTexture",140.860,0.001
"XR Texture [5]","RenderTexture",140.860,0.001
"XR Texture [4]","RenderTexture",140.860,0.001
"Hidden/Universal Render Pipeline/UberPost","Shader",8.801,8.801
"_MainLightShadowmapTexture_1024x1024_Shadowmap","RenderTexture",2.017,0.001
"Hidden/Universal Render Pipeline/FinalPost","Shader",1.696,1.696
"Splash Screen Unity Logo","Texture2D",1.309,0.000
"Standard","Shader",1.207,1.207
"AudioManager","AudioManager",1.008,1.008
"Hidden/Universal Render Pipeline/LensFlareDataDriven","Shader",0.870,0.870
"Default-Skybox-Cubemap","Cubemap",0.657,0.001
"Universal Render Pipeline/Lit","Shader",0.580,0.580
"Meta/MRUK/MixedReality/MRUKLit","Shader",0.528,0.528
"","Mesh",0.465,0.465
"Hidden/Universal/CoreBlit","Shader",0.422,0.422
"AreaTex","Texture2D",0.422,0.000
"Meta/Lit","Shader",0.379,0.379
"Large01","Texture2D",0.250,0.000
"Medium02","Texture2D",0.250,0.000
"Thin02","Texture2D",0.250,0.000
"Medium04","Texture2D",0.250,0.000
"Medium06","Texture2D",0.250,0.000
"Medium03","Texture2D",0.250,0.000
"Thin01","Texture2D",0.250,0.000
"Large02","Texture2D",0.250,0.000
"Medium05","Texture2D",0.250,0.000
"Medium01","Texture2D",0.250,0.000
"Hidden/TerrainEngine/Details/UniversalPipeline/WavingDoublePass","Shader",0.217,0.217
"Hidden/Universal Render Pipeline/TemporalAA","Shader",0.190,0.190
"Legacy Shaders/Diffuse","Shader",0.181,0.181
"Hidden/Universal Render Pipeline/BokehDepthOfField","Shader",0.172,0.172
"Hidden/TerrainEngine/Details/UniversalPipeline/Vertexlit","Shader",0.161,0.161
"MRUK","MonoBehaviour",0.153,0.153
"Hidden/Universal Render Pipeline/SubpixelMorphologicalAntialiasing","Shader",0.145,0.145
"Hidden/TerrainEngine/Details/UniversalPipeline/BillboardWavingDoublePass","Shader",0.129,0.129
"UniversalRenderPipelineGlobalSettings","ScriptableObject",0.126,0.126
"MonoManager","MonoManager",0.125,0.125
"ResourceManager","ResourceManager",0.122,0.122
"Hidden/Universal Render Pipeline/CameraMotionBlur","Shader",0.121,0.121
"Hidden/Universal Render Pipeline/GaussianDepthOfField","Shader",0.105,0.105
"Hidden/Universal Render Pipeline/LensFlareScreenSpace","Shader",0.101,0.101
"Hidden/Universal Render Pipeline/LutBuilderHdr","Shader",0.098,0.098
"UnityNHxRoughness","Texture2D",0.094,0.032
"Legacy Shaders/VertexLit","Shader",0.090,0.090
"Mobile_RPAsset","ScriptableObject",0.090,0.090
"Hidden/Universal Render Pipeline/Bloom","Shader",0.090,0.090
"Hidden/Universal Render Pipeline/Scaling Setup","Shader",0.071,0.071
"Hidden/InternalErrorShader","Shader",0.068,0.068
"UnityAttenuation","Texture2D",0.065,0.003
"Hidden/Universal Render Pipeline/CopyDepth","Shader",0.065,0.065
"Skybox/Procedural","Shader",0.065,0.065
"UnityDitherMask3D","Texture3D",0.063,0.001
"Soft","Texture2D",0.063,0.001
"Hidden/Universal/HDRDebugView","Shader",0.063,0.063
"OVRCameraRig","MonoBehaviour",0.060,0.060
"ColorCurves","ScriptableObject",0.060,0.060
"ScreenSpaceLensFlare","ScriptableObject",0.051,0.051
"MixedReality/SceneMeshDefault","Shader",0.051,0.051
"[BuildingBlock] Passthrough","MonoBehaviour",0.047,0.047
"Sprites/Default","Shader",0.041,0.041
"Hidden/CoreSRP/CoreCopy","Shader",0.041,0.041
"Hidden/Universal Render Pipeline/Edge Adaptive Spatial Upsampling","Shader",0.039,0.039
"ImmersiveDebuggerSettings","ScriptableObject",0.037,0.037
"Hidden/Universal Render Pipeline/LutBuilderLdr","Shader",0.036,0.036
"Mobile_Renderer","ScriptableObject",0.036,0.036
"UnityGrayscaleRamp","Texture2D",0.034,0.003
"Hidden/Universal/CoreBlitColorAndDepth","Shader",0.034,0.034
"Bloom","ScriptableObject",0.033,0.033
"Hidden/Universal Render Pipeline/XR/XRMirrorView","Shader",0.032,0.032
"UnityDefaultCube","Cubemap",0.032,0.001
"UnityBlackCube","Cubemap",0.032,0.001
"DepthOfField","ScriptableObject",0.032,0.032
"ProbeVolumesOptions","ScriptableObject",0.032,0.032
"UnityDefaultCubeArray","CubemapArray",0.032,0.001
"DebugFont","Texture2D",0.032,0.000
"RightEyeAnchor","MonoBehaviour",0.030,0.030
"Hidden/Universal Render Pipeline/PaniniProjection","Shader",0.029,0.029
"ChannelMixer","ScriptableObject",0.026,0.026
"Tonemapping","ScriptableObject",0.026,0.026
"PostProcessData","ScriptableObject",0.025,0.025
"Hidden/Internal-Loading","Shader",0.025,0.025
"Hidden/Universal Render Pipeline/XR/XROcclusionMesh","Shader",0.024,0.024
"Oculus/Cubemap Blit","Shader",0.023,0.023
"Hidden/Universal Render Pipeline/CameraMotionVectors","Shader",0.022,0.022
"Hidden/Universal Render Pipeline/Debug/DebugReplacement","Shader",0.021,0.021
"OculusSettings","ScriptableObject",0.021,0.021
"Hidden/Universal Render Pipeline/XR/XRMotionVector","Shader",0.021,0.021
"Meta/MRUK/Unlit/Wireframe","Shader",0.021,0.021
"ShadowsMidtonesHighlights","ScriptableObject",0.021,0.021
"Oculus/Texture2D Blit","Shader",0.021,0.021
"Hidden/Universal Render Pipeline/Sampling","Shader",0.021,0.021
"Hidden/Universal Render Pipeline/FallbackError","Shader",0.021,0.021
"Hidden/Universal Render Pipeline/Stop NaN","Shader",0.021,0.021
"Hidden/BlitCopyWithDepth","Shader",0.020,0.020
"Hidden/BlitCopy","Shader",0.020,0.020
"Hidden/Core/FallbackError","Shader",0.019,0.019
"ProbeVolumeSamplingDebugPositionNormal","ComputeShader",0.018,0.018
"Room - eec0d507-b293-a7b5-21cb-46ec078ee670","Transform",0.018,0.018
"_128x1x2_R16_SFloat_Tex2DArray","RenderTexture",0.016,0.001
"LensDistortion","ScriptableObject",0.015,0.015
"Vignette","ScriptableObject",0.015,0.015
"ColorAdjustments","ScriptableObject",0.015,0.015
"ScreenSpaceAmbientOcclusion","ScriptableObject",0.014,0.014
"FilmGrain","ScriptableObject",0.013,0.013
"Hidden/Universal Render Pipeline/StencilDeferred","Shader",0.013,0.013
"Directional Light","MonoBehaviour",0.013,0.013
"MotionBlur","ScriptableObject",0.013,0.013
"UnityHalo","Texture2D",0.012,0.005
"EffectMesh","MonoBehaviour",0.012,0.012
"OVRCameraRig","MonoBehaviour",0.011,0.011
"SplitToning","ScriptableObject",0.010,0.010
"LiftGammaGain","ScriptableObject",0.010,0.010
"OculusRuntimeSettings","ScriptableObject",0.010,0.010
"UnityDefault2D","Texture2D",0.009,0.002
"UnityRandomRotation","Texture2D",0.009,0.002
"InputManager","InputManager",0.009,0.009
"DefaultShadowTexture_1x1_Shadowmap","RenderTexture",0.009,0.001
"ColorLookup","ScriptableObject",0.008,0.008
"VFXManager","VFXManager",0.008,0.008
"LDR_LLL1_0","Texture2D",0.008,0.000
"Invalidated","Texture2D",0.008,0.000
"OVRCameraRig","MonoBehaviour",0.007,0.007
"WhiteBalance","ScriptableObject",0.007,0.007
"PaniniProjection","ScriptableObject",0.007,0.007
"UnityDitherMask2D","Texture2D",0.005,0.001
"Hidden/Universal/BlitHDROverlay","Shader",0.005,0.005
"Hidden/Universal Render Pipeline/DBufferClear","Shader",0.005,0.005
"Android Providers","ScriptableObject",0.005,0.005
"ShaderNameRegistry","ShaderNameRegistry",0.005,0.005
"Cube","Mesh",0.005,0.002
"ChromaticAberration","ScriptableObject",0.004,0.004
"MetaXRAcousticSettings","ScriptableObject",0.004,0.004
"SCREEN","Mesh",0.004,0.002
"OTHER","Mesh",0.004,0.002
"SCREEN","Mesh",0.004,0.002
"OTHER","Mesh",0.004,0.002
"OTHER","Mesh",0.004,0.002
"OTHER","Mesh",0.004,0.002
"TABLE","Mesh",0.004,0.002
"LAMP","Mesh",0.004,0.002
"TABLE","Mesh",0.004,0.002
"TABLE","Mesh",0.004,0.002
"SCREEN","Mesh",0.004,0.002
"STORAGE","Mesh",0.004,0.002
"SCREEN","Mesh",0.004,0.002
"SCREEN","Mesh",0.004,0.002
"OTHER","Mesh",0.004,0.002
"OTHER","Mesh",0.004,0.002
"TABLE","Mesh",0.004,0.002
"TABLE","Mesh",0.004,0.002
"LAMP","Mesh",0.004,0.002
"SCREEN","Mesh",0.004,0.002
"TABLE","Mesh",0.004,0.002
"OTHER","Mesh",0.004,0.002
"TABLE","Mesh",0.004,0.002
"TABLE","Mesh",0.004,0.002
"OTHER","Mesh",0.004,0.002
"TABLE","Mesh",0.004,0.002
"OTHER","Mesh",0.004,0.002
"OTHER","Mesh",0.004,0.002
"SCREEN","Mesh",0.004,0.002
"STORAGE","Mesh",0.004,0.002
"TABLE","Mesh",0.004,0.002
"OTHER","Mesh",0.004,0.002
"OTHER","Mesh",0.004,0.002
"OTHER","Mesh",0.004,0.002
"TABLE","Mesh",0.004,0.002
"TABLE","Mesh",0.004,0.002
"TABLE","Mesh",0.004,0.002
"SCREEN","Mesh",0.004,0.002
"LDR_LLL1_28","Texture2D",0.004,0.000
"LDR_LLL1_11","Texture2D",0.004,0.000
"LDR_LLL1_29","Texture2D",0.004,0.000
"LDR_LLL1_22","Texture2D",0.004,0.000
"LDR_LLL1_8","Texture2D",0.004,0.000
"LDR_LLL1_5","Texture2D",0.004,0.000
"LDR_LLL1_21","Texture2D",0.004,0.000
"LDR_LLL1_13","Texture2D",0.004,0.000
"LDR_LLL1_1","Texture2D",0.004,0.000
"LDR_LLL1_19","Texture2D",0.004,0.000
"LDR_LLL1_18","Texture2D",0.004,0.000
"LDR_LLL1_26","Texture2D",0.004,0.000
"LDR_LLL1_20","Texture2D",0.004,0.000
"LDR_LLL1_27","Texture2D",0.004,0.000
"LDR_LLL1_7","Texture2D",0.004,0.000
"LDR_LLL1_12","Texture2D",0.004,0.000
"LDR_LLL1_24","Texture2D",0.004,0.000
"LDR_LLL1_16","Texture2D",0.004,0.000
"LDR_LLL1_10","Texture2D",0.004,0.000
"LDR_LLL1_30","Texture2D",0.004,0.000
"LDR_LLL1_0","Texture2D",0.004,0.000
"LDR_LLL1_3","Texture2D",0.004,0.000
"SearchTex","Texture2D",0.004,0.000
"LDR_LLL1_15","Texture2D",0.004,0.000
"LDR_LLL1_14","Texture2D",0.004,0.000
"LDR_LLL1_6","Texture2D",0.004,0.000
"LDR_LLL1_4","Texture2D",0.004,0.000
"LDR_LLL1_25","Texture2D",0.004,0.000
"LDR_LLL1_31","Texture2D",0.004,0.000
"LDR_LLL1_17","Texture2D",0.004,0.000
"LDR_LLL1_2","Texture2D",0.004,0.000
"LDR_LLL1_23","Texture2D",0.004,0.000
"LDR_LLL1_9","Texture2D",0.004,0.000
"ImmersiveSceneDebugger","MonoBehaviour",0.004,0.004
