Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"PlayerLoop";13.86188;11.5962;16.24948;264;129;126;1;1;4160.22514152527;13.86742;13.56667;14.19875;300;1;1;1;300;115;11.5962;16.24948;129;126;13.86719
"EarlyUpdate.XRUpdate";10.43037;8.53771;11.61047;245;127;123;2;2;3127.63369655609;10.42545;10.10896;10.79677;300;1;1;1;300;115;8.53771;11.61047;127;123;10.21901
"PostLateUpdate.FinishFrameRendering";1.576458;1.137396;2.427344;356;179;316;2;2;475.087708353996;1.583626;1.432187;1.726406;300;1;1;1;300;115;1.137396;2.427344;179;316;1.678698
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::RenderPipelineManager.DoRenderLoop_Internal() [Invoke]";1.48224;1.067292;2.311771;356;179;316;3;3;447.561510324478;1.491872;1.35375;1.631094;300;1;1;1;300;115;1.067292;2.311771;179;316;1.5625
"Inl_UniversalRenderTotal";1.448542;1.040052;2.268646;269;183;316;4;4;437.358846306801;1.457863;1.324219;1.582553;300;1;1;1;300;115;1.040052;2.268646;183;316;1.507292
"Inl_RenderCameraStack";1.404688;1.006094;2.209532;274;183;316;5;5;424.156033158302;1.413853;1.287396;1.529583;300;1;1;1;300;115;1.006094;2.209532;183;316;1.47099
"Inl_UniversalRenderPipeline.RenderSingleCameraInternal: CenterEyeAnchor";0.923125;0.675834;1.487812;253;183;273;6;6;279.759552121162;0.9325318;0.853854;1.00026;300;1;1;1;300;115;0.675834;1.487812;183;273;0.987917
"Update.ScriptRunBehaviourUpdate";0.717344;0.483125;1.248594;233;181;126;2;2;216.270604610443;0.720902;0.629583;0.788177;300;1;1;1;300;115;0.483125;1.248594;181;126;0.855886
"BehaviourUpdate";0.715625;0.482084;1.24625;332;181;126;3;3;215.783879190683;0.7192796;0.627708;0.786198;300;1;1;1;300;115;0.482084;1.24625;181;126;0.854844
"PostLateUpdate.PlayerSendFrameStarted";0.364323;0.253125;0.808906;294;265;314;2;2;113.916672945023;0.3797222;0.32224;0.422552;300;1;1;1;300;115;0.253125;0.808906;265;314;0.364427
"meta.xr.mrutilitykit.dll!Meta.XR.MRUtilityKit::MRUK.Update() [Invoke]";0.339688;0.20625;0.703178;245;199;393;4;4;103.138181731105;0.3437939;0.280417;0.394376;300;1;1;1;300;115;0.20625;0.703178;199;393;0.496823
"Inl_ExecuteRenderGraph";0.309062;0.20901;0.690261;403;181;381;7;7;93.2042288929224;0.3106808;0.27526;0.332917;300;1;1;1;300;115;0.20901;0.690261;181;381;0.370938
"FrameEvents.XRBeginFrame";0.300313;0.206406;0.735677;296;265;314;3;3;94.3203168511391;0.3144011;0.267344;0.339584;300;1;1;1;300;115;0.206406;0.735677;265;314;0.304531
"Inl_ScriptableRenderContext.Submit";0.244791;0.142239;0.724167;346;179;312;6;6;77.508690699935;0.2583623;0.214636;0.275521;300;1;1;1;300;115;0.142239;0.724167;179;312;0.29099
"Inl_RecordRenderGraph";0.234219;0.16349;0.418854;402;202;273;7;7;72.6040829569101;0.2420136;0.212553;0.263229;300;1;1;1;300;115;0.16349;0.418854;202;273;0.235104
"Inl_On Record Render Graph";0.221198;0.154375;0.399323;402;202;273;8;8;68.4734025746584;0.2282447;0.201667;0.250416;300;1;1;1;300;115;0.154375;0.399323;202;273;0.22375
"Oculus.VR.dll!::OVRManager.Update() [Invoke]";0.214636;0.156719;0.434427;206;167;371;4;4;65.2497578412294;0.2174992;0.204375;0.231563;300;1;1;1;300;115;0.156719;0.434427;167;371;0.211146
"PostLateUpdate.ProfilerEndFrame";0.210782;0.144688;0.478021;134;318;255;2;2;66.6513528376818;0.2221712;0.186718;0.241823;300;1;1;1;300;115;0.144688;0.478021;318;255;0.173125
