Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"PlayerLoop";13.85912;12.28063;15.62214;391;217;290;1;1;4157.25181007385;13.85751;13.50479;14.17719;300;1;1;1;300;140;12.28063;15.62214;217;290;13.85912
"EarlyUpdate.XRUpdate";10.41469;8.645522;11.54974;167;406;220;2;2;3118.74493408203;10.39582;10.10734;10.74662;300;1;1;1;300;140;8.645522;11.54974;406;220;10.2437
"PostLateUpdate.FinishFrameRendering";1.5975;1.143229;3.019167;354;153;290;2;2;491.340565681458;1.637802;1.485365;1.749688;300;1;1;1;300;140;1.143229;3.019167;153;290;1.632709
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::RenderPipelineManager.DoRenderLoop_Internal() [Invoke]";1.508698;1.029167;2.914948;347;153;290;3;3;462.931038975716;1.543103;1.390261;1.643541;300;1;1;1;300;140;1.029167;2.914948;153;290;1.55823
"Inl_UniversalRenderTotal";1.47823;1.007396;2.882657;347;153;290;4;4;452.857436060905;1.509525;1.361563;1.603282;300;1;1;1;300;140;1.007396;2.882657;153;290;1.528541
"Inl_RenderCameraStack";1.437552;0.979688;2.840781;260;153;290;5;5;439.911598861217;1.466372;1.318854;1.554167;300;1;1;1;300;140;0.979688;2.840781;153;290;1.483438
"Inl_UniversalRenderPipeline.RenderSingleCameraInternal: CenterEyeAnchor";0.965677;0.663802;1.687188;342;153;290;6;6;292.128780126572;0.9737626;0.871979;1.043125;300;1;1;1;300;140;0.663802;1.687188;153;290;1.008802
"Update.ScriptRunBehaviourUpdate";0.660365;0.464791;1.015417;149;153;348;2;2;202.82292675972;0.6760764;0.61375;0.721094;300;1;1;1;300;140;0.464791;1.015417;153;348;0.760157
"BehaviourUpdate";0.659375;0.464167;1.013125;149;153;348;3;3;202.396732747555;0.6746558;0.611458;0.720156;300;1;1;1;300;140;0.464167;1.013125;153;348;0.757604
"PostLateUpdate.PlayerSendFrameStarted";0.341198;0.233698;0.86151;379;169;405;2;2;106.415324568748;0.3547178;0.316719;0.377083;300;1;1;1;300;140;0.233698;0.86151;169;405;0.310313
"Inl_ExecuteRenderGraph";0.304687;0.200313;0.627187;213;153;355;7;7;93.8411089330912;0.3128037;0.280625;0.336875;300;1;1;1;300;140;0.200313;0.627187;153;355;0.327864
"meta.xr.mrutilitykit.dll!Meta.XR.MRUtilityKit::MRUK.Update() [Invoke]";0.292916;0.214114;0.525052;273;155;371;4;4;91.1429254859686;0.3038098;0.268334;0.322917;300;1;1;1;300;140;0.214114;0.525052;155;371;0.309687
"FrameEvents.XRBeginFrame";0.286406;0.199011;0.764636;163;169;283;3;3;89.3417367786169;0.2978058;0.26724;0.313125;300;1;1;1;300;140;0.199011;0.764636;169;283;0.269167
"Inl_RecordRenderGraph";0.251146;0.180573;0.570886;274;153;379;7;7;77.8627150207758;0.2595424;0.223333;0.281823;300;1;1;1;300;140;0.180573;0.570886;153;379;0.252708
"Inl_ScriptableRenderContext.Submit";0.245834;0.165469;0.862864;162;423;290;6;6;79.6572047173977;0.265524;0.217239;0.281979;300;1;1;1;300;140;0.165469;0.862864;423;290;0.281511
"Inl_On Record Render Graph";0.235834;0.171667;0.505052;192;153;379;8;8;73.285682991147;0.2442856;0.210104;0.265365;300;1;1;1;300;140;0.171667;0.505052;153;379;0.235573
"PostLateUpdate.ProfilerEndFrame";0.232187;0.139375;0.642083;289;407;401;2;2;74.0462037473917;0.2468207;0.19901;0.273698;300;1;1;1;300;140;0.139375;0.642083;407;401;0.334479
"Profiler.FlushCounters";0.230677;0.137917;0.639635;289;407;401;3;3;73.3568318337202;0.2445228;0.197292;0.269219;300;1;1;1;300;140;0.137917;0.639635;407;401;0.332657
"Oculus.VR.dll!::OVRManager.Update() [Invoke]";0.212083;0.151042;0.50474;147;153;348;4;4;65.9508949071169;0.2198363;0.204323;0.228958;300;1;1;1;300;140;0.151042;0.50474;153;348;0.276407
"Profiler.FlushMemoryCounters";0.186667;0.106198;0.518542;369;407;283;4;4;59.1781228110194;0.1972604;0.160937;0.222344;300;1;1;1;300;140;0.106198;0.518542;407;283;0.267916
"CullScriptable";0.168229;0.123542;0.335364;311;153;298;7;7;52.3348988816142;0.1744497;0.1475;0.191771;300;1;1;1;300;140;0.123542;0.335364;153;298;0.181822
"Gfx.WaitForRenderThread";0.140782;0.102917;0.581302;224;153;283;4;4;45.1151647344232;0.1503839;0.13198;0.157395;300;1;1;1;300;140;0.102917;0.581302;153;283;0.13823
"Semaphore.WaitForSignal";0.139896;0.101979;0.580104;224;153;283;5;5;44.7025567814708;0.1490085;0.130781;0.15625;300;1;1;1;300;140;0.101979;0.580104;153;283;0.137031
"Inl_Setup Forward Lights";0.118542;0.079583;0.339427;210;424;290;8;8;37.2851579040289;0.1242839;0.109896;0.131459;300;1;1;1;300;140;0.079583;0.339427;424;290;0.116355
