Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"PlayerLoop";13.83714;12.47828;15.14583;230;383;332;1;1;4159.97963237762;13.8666;13.50172;14.24292;300;1;1;1;300;140;12.47828;15.14583;383;332;13.84985
"EarlyUpdate.XRUpdate";10.23354;8.986771;11.27568;291;340;164;2;2;3067.51675319672;10.22506;9.910158;10.56188;300;1;1;1;300;140;8.986771;11.27568;340;164;9.910158
"PostLateUpdate.FinishFrameRendering";1.631407;1.190521;2.40151;269;163;344;2;2;499.14176440239;1.663806;1.531094;1.768958;300;1;1;1;300;140;1.190521;2.40151;163;344;1.747656
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::RenderPipelineManager.DoRenderLoop_Internal() [Invoke]";1.53474;1.115156;2.286146;415;163;344;3;3;469.055411577225;1.563518;1.441042;1.658542;300;1;1;1;300;140;1.115156;2.286146;163;344;1.647292
"Inl_UniversalRenderTotal";1.501355;1.088073;2.190209;280;163;243;4;4;458.334221124649;1.527781;1.409011;1.623802;300;1;1;1;300;140;1.088073;2.190209;163;243;1.608959
"Inl_RenderCameraStack";1.457344;1.052136;2.154375;424;163;243;5;5;444.454946994781;1.481516;1.363125;1.568385;300;1;1;1;300;140;1.052136;2.154375;163;243;1.560469
"Inl_UniversalRenderPipeline.RenderSingleCameraInternal: CenterEyeAnchor";0.958281;0.735729;1.469375;368;163;339;6;6;292.028560936451;0.9734285;0.898646;1.036042;300;1;1;1;300;140;0.735729;1.469375;163;339;1.057916
"Update.ScriptRunBehaviourUpdate";0.767709;0.534843;1.16;222;168;387;2;2;233.363351345062;0.7778779;0.712812;0.838282;300;1;1;1;300;140;0.534843;1.16;168;387;0.850521
"BehaviourUpdate";0.766146;0.533958;1.157969;222;168;387;3;3;232.952349126339;0.7765079;0.711459;0.836979;300;1;1;1;300;140;0.533958;1.157969;168;387;0.848541
"meta.xr.mrutilitykit.dll!Meta.XR.MRUtilityKit::MRUK.Update() [Invoke]";0.380781;0.25698;0.75375;255;180;289;4;4;118.992571443319;0.3966419;0.352292;0.425886;300;1;1;1;300;140;0.25698;0.75375;180;289;0.453385
"PostLateUpdate.PlayerSendFrameStarted";0.362395;0.258229;0.931667;266;151;428;2;2;113.903451949358;0.3796782;0.331719;0.404896;300;1;1;1;300;140;0.258229;0.931667;151;428;0.368906
"Inl_ExecuteRenderGraph";0.305;0.216302;0.768541;365;163;339;7;7;96.0530798584223;0.3201769;0.285156;0.337135;300;1;1;1;300;140;0.216302;0.768541;163;339;0.294635
"FrameEvents.XRBeginFrame";0.2975;0.213177;0.86401;410;151;428;3;3;93.9358939677477;0.3131196;0.273438;0.331407;300;1;1;1;300;140;0.213177;0.86401;151;428;0.302396
"Inl_ScriptableRenderContext.Submit";0.253385;0.153333;0.729583;256;163;344;6;6;82.0467257797718;0.2734891;0.229375;0.289792;300;1;1;1;300;140;0.153333;0.729583;163;344;0.253437
"Inl_RecordRenderGraph";0.246562;0.18026;0.52;405;163;430;7;7;76.3707848489285;0.2545693;0.222604;0.272865;300;1;1;1;300;140;0.18026;0.52;163;430;0.249323
"PostLateUpdate.ProfilerEndFrame";0.244271;0.142865;0.921146;378;384;286;2;2;77.019429937005;0.2567314;0.208125;0.28474;300;1;1;1;300;140;0.142865;0.921146;384;286;0.253802
"Profiler.FlushCounters";0.241823;0.141563;0.919375;378;384;286;3;3;76.4084867089987;0.254695;0.205989;0.28276;300;1;1;1;300;140;0.141563;0.919375;384;286;0.250885
"Inl_On Record Render Graph";0.23198;0.16875;0.495573;421;163;430;8;8;71.8493907153606;0.239498;0.209843;0.257136;300;1;1;1;300;140;0.16875;0.495573;163;430;0.234844
"Oculus.VR.dll!::OVRManager.Update() [Invoke]";0.218906;0.156145;0.368073;306;180;376;4;4;67.5227838158607;0.2250759;0.208073;0.237812;300;1;1;1;300;140;0.156145;0.368073;180;376;0.230052
"Profiler.FlushMemoryCounters";0.191354;0.111354;0.871771;317;384;286;4;4;62.5646448656917;0.2085488;0.166562;0.22875;300;1;1;1;300;140;0.111354;0.871771;384;286;0.205052
"CullScriptable";0.163437;0.122865;0.377969;245;141;296;7;7;50.5694879069924;0.168565;0.148802;0.179739;300;1;1;1;300;140;0.122865;0.377969;141;296;0.254219
"Gfx.WaitForRenderThread";0.145416;0.081771;0.66349;368;311;428;4;4;46.733281776309;0.1557776;0.135468;0.163959;300;1;1;1;300;140;0.081771;0.66349;311;428;0.151354
"Semaphore.WaitForSignal";0.144323;0.080416;0.661927;368;311;428;5;5;46.3368858247995;0.1544563;0.134375;0.162187;300;1;1;1;300;140;0.080416;0.661927;311;428;0.150417
"ExecuteRenderGraph";0.122656;0.074062;0.425156;417;158;146;7;7;40.1820369064808;0.1339401;0.108385;0.142292;300;1;1;1;300;140;0.074062;0.425156;158;146;0.126719
"Inl_Setup Forward Lights";0.119636;0.082292;0.545573;391;163;339;8;8;38.3796908482909;0.1279323;0.111927;0.131979;300;1;1;1;300;140;0.082292;0.545573;163;339;0.107917
"Inl_Setup Light Constants";0.11677;0.080625;0.542396;414;163;339;9;9;37.5930288806558;0.1253101;0.109739;0.129323;300;1;1;1;300;140;0.080625;0.542396;163;339;0.105729
"EndRenderQueueExtraction";0.080104;0.045573;0.234323;381;221;370;8;9;25.6334388996474;0.08544479;0.0725;0.091666;600;2;2;2;300;140;0.004271;0.18651;291;370;0.094218
"SceneCulling";0.0725;0.053906;0.188698;273;158;279;8;8;22.8761469461024;0.07625382;0.06625;0.080156;300;1;1;1;300;140;0.053906;0.188698;158;279;0.144531
"WaitForJobGroupID";0.06823;0.027135;0.21427;209;286;370;9;12;21.9916508750757;0.0733055;0.05823;0.080677;888;3;1;7;300;140;0.000781;0.159218;345;370;0.076146
"CullResults.CreateSharedRendererScene";0.063438;0.04599;0.188281;312;172;349;8;8;19.8826079331338;0.06627536;0.056718;0.072032;300;1;1;1;300;140;0.04599;0.188281;172;349;0.08073
"PreUpdate.NewInputUpdate";0.062604;0.042292;0.173281;202;195;400;2;2;19.5927569903433;0.06530919;0.053125;0.071198;300;1;1;1;300;140;0.042292;0.173281;195;400;0.071614
"Inl_Forward+ Upload";0.057969;0.036667;0.222916;198;151;339;10;10;18.4274489693344;0.06142483;0.053021;0.063594;300;1;1;1;300;140;0.036667;0.222916;151;339;0.047656
