scan_id,room_label,location,noise_type,device_id,TotalUsedMem_d6_minus_d5_mean,TotalUsedMem_q2_std,TotalUsedMem_q3_std,TotalUsedMem_d6_min,TotalUsedMem_roll10_mean_std,TotalUsedMem_resid_std,TotalUsedMem_decile_mean_range,GpuUtil_q2_mean,TotalUsedMem_iqr,TotalUsedMem_range,TotalUsedMem_d8_minus_d7_mean,GpuUtil_d0_min,TotalUsedMem_half1_std,TotalUsedMem_d8_min,GpuUtil_p10,GpuUtil_d8_mean,TotalUsedMem_d7_min,GpuUtil_d2_min,TotalUsedMem_d7_std
conference__3310__noise0__scan00,conference,3310,0,2bfe9f80377e670fec89a36997162020,146336.0,104438.27553974856,170580.96288532406,144462316,274941.85917846113,236988.1602312225,837825.1111111343,0.3342999999999999,475296.0,1155354,136640.0,0.3346,207949.69702044723,144741132,0.3327,0.3332333333333333,144609964,0.3336,36772.02414880095
conference__3310__noise0__scan01,conference,3310,0,2bfe9f80377e670fec89a36997162020,150287.22222220898,106701.262640538,160099.718039026,144650228,273811.6296853546,232517.76236962623,821487.0,0.3322826086956522,481152.0,1017440,132768.0,0.3361,201482.9728962674,144920980,0.3304,0.3359,144785492,0.3357,39589.28731018525
conference__3310__noise1__scan00,conference,3310,1,2bfe9f80377e670fec89a36997162020,123483.77777779102,100177.94606942234,166756.9191758367,145507995,276281.24871935736,230599.08688290947,866177.4444444478,0.3222,453718.0,1146499,132683.22222220898,0.3218,202546.6134065958,145760565,0.3187,0.3217666666666667,145636548,0.3169,39440.2844754722
conference__3310__noise1__scan01,conference,3310,1,2bfe9f80377e670fec89a36997162020,127583.66666668652,103031.98923121596,169668.7739877927,145470648,270810.1506872374,242130.2773052728,831451.2222222388,0.3154565217391303,483148.5,1140861,134259.22222223878,0.3067,204177.88666198665,145737232,0.3085,0.3149,145606032,0.3106,40485.96735526222
conference__3310__noise2__scan00,conference,3310,2,2bfe9f80377e670fec89a36997162020,155097.0,125516.51674289852,164268.7953717955,145469880,280366.95981173904,232548.5466432997,844158.7777777612,0.3279608695652175,481260.5,1071886,156132.6666666865,0.2934,197637.88379024007,145713690,0.2934,0.3051333333333333,145588136,0.3101,37651.432330566255
conference__3310__noise2__scan01,conference,3310,2,2bfe9f80377e670fec89a36997162020,183552.2222222388,135320.84071630042,157963.1287166224,145500918,293569.4975871197,244070.2465698844,872598.0,0.3122173913043479,504900.5,1073960,138504.44444444776,0.3142,212636.8395854465,145773606,0.3059,0.3324777777777778,145639648,0.3546,74794.03553760152
conference__4001__noise0__scan00,conference,4001,0,2bfe9f80377e670fec89a36997162020,148590.22222220898,104669.5994327937,92969.56006593398,145273876,235298.2695935628,222498.47188135376,768843.6666666567,0.3303681818181819,426676.0,916880,130103.88888889553,0.3248,196155.293236077,145557716,0.3285,0.3300777777777777,145438580,0.331,33435.59609491391
conference__4001__noise0__scan01,conference,4001,0,2bfe9f80377e670fec89a36997162020,123706.33333331348,123458.3566827354,97585.02990302126,145244444,234449.26445390304,210512.08469948333,859737.6666666865,0.3085695652173912,397072.0,946512,85925.55555555224,0.2927,200744.8820314413,145519916,0.2936,0.309,145405148,0.2939,95885.6108319558
conference__4001__noise1__scan00,conference,4001,1,2bfe9f80377e670fec89a36997162020,161275.55555555224,117849.60464727852,122299.79248988192,146274220,251721.4348879381,238782.26772556032,843664.6666666567,0.3655652173913043,434296.0,1110373,179660.66666665673,0.3572,218685.6672112456,146551536,0.3254,0.3303777777777778,146437348,0.3468,93114.05188912078
conference__4001__noise1__scan01,conference,4001,1,2bfe9f80377e670fec89a36997162020,135750.0,131192.81573378472,142750.3587334871,145983612,253624.04838241465,233425.29574128223,957828.5555555522,0.3549782608695652,392948.5,1175049,138428.33333334327,0.3528,236799.7572264146,146274922,0.3272,0.3272333333333333,146135862,0.3272,99568.90300852463
conference__4001__noise2__scan00,conference,4001,2,2bfe9f80377e670fec89a36997162020,124385.88888886572,105809.81095881655,101149.687465773,146078100,241701.511575872,226292.30601195747,805262.0,0.3189863636363636,451066.5,940984,126949.88888889553,0.313,207371.3283449252,146369164,0.2998,0.3037111111111111,146238876,0.3167,75217.51515257864
