db_id,room_label,noise_type,TotalUsedMem_mean,TotalUsedMem_std,TotalUsedMem_max,TotalUsedMem_min,TotalUsedMem_median,CpuUtil_mean,GpuUtil_mean,GpuUtil_max,GpuUtil_min,GpuUtil_median,BatteryTemp_mean,BatteryLevel_mean,BatteryLevel_max,BatteryLevel_min,BatteryLevel_median,BatteryVoltageMv_mean,BatteryVoltageMv_max,BatteryVoltageMv_min,BatteryVoltageMv_median,WorstFrameMs_median
19,kitchen,0.0,144708451.8021978,316441.72262598376,145288860,144146996,144658268.0,0.1472802197802197,0.271165934065934,0.2744,0.2685,0.2714,47.85714285714285,0.8899999999999999,0.89,0.89,0.89,4060.252747252747,4066,4030,4066.0,15.66
20,kitchen,0.0,144682141.30769232,291899.83377683925,145246284,144150556,144606876.0,0.1418967032967032,0.320032967032967,0.3224,0.3188,0.3197,47.0,0.87,0.87,0.87,0.87,4049.6593406593406,4058,4025,4058.0,15.74
21,kitchen,1.0,145612114.04395604,283809.7398960344,146180416,145040444,145551170.0,0.1644780219780219,0.349065934065934,0.3565,0.341,0.3507,47.0,0.8600000000000001,0.86,0.86,0.86,4036.164835164835,4066,4010,4041.0,15.58
22,kitchen,1.0,145502612.52747253,299084.5961262805,146236278,144971954,145429482.0,0.1550142857142857,0.343078021978022,0.3448,0.3412,0.3426,46.0,0.8521978021978022,0.86,0.85,0.85,4009.4065934065934,4027,4000,4005.0,15.71
23,kitchen,2.0,145471291.25274727,283096.34404844564,146028096,144926862,145424022.0,0.1524065934065934,0.2913076923076923,0.326,0.272,0.2877,48.0,0.85,0.85,0.85,0.85,3982.6153846153848,4002,3981,3981.0,15.66
24,kitchen,2.0,145421554.0989011,298677.6344342709,145999960,144849062,145369416.0,0.1544175824175824,0.2957,0.3207,0.2832,0.2915,47.494505494505496,0.84,0.84,0.84,0.84,4022.076923076923,4029,4015,4029.0,15.64
25,conference,0.0,144448232.3956044,301309.8246217734,145108486,143953132,144495212.0,0.1522560439560439,0.3325626373626373,0.3353,0.3058,0.3341,52.0,0.7299999999999999,0.73,0.73,0.73,3871.7582417582416,3887,3861,3864.0,15.59
26,conference,0.0,144625931.42857143,298192.6487727724,145150564,144133124,144674804.0,0.1421593406593406,0.3346032967032967,0.3374,0.3302,0.3357,51.0,0.7299999999999999,0.73,0.73,0.73,3867.186813186813,3872,3866,3866.0,15.57
27,conference,1.0,145476463.94505495,303780.05427093105,146111131,144964632,145533836.0,0.1725736263736264,0.3210186813186813,0.3225,0.3169,0.3218,47.0,0.72,0.72,0.72,0.72,3877.3736263736255,3881,3870,3881.0,15.69
28,conference,1.0,145458436.7912088,299526.9028322609,146102493,144961632,145529656.0,0.165487912087912,0.3131483516483516,0.3159,0.3067,0.3138,50.0,0.71,0.71,0.71,0.71,3862.483516483516,3863,3848,3863.0,15.51
29,conference,2.0,145439356.2197802,307740.20043185947,145985022,144913136,145498233.0,0.1573307692307692,0.3205802197802198,0.3556,0.2927,0.3178,50.0,0.71,0.71,0.71,0.71,3839.450549450549,3865,3834,3834.0,15.7
30,conference,2.0,145469921.54945055,319313.94866623404,146028264,144954304,145514272.0,0.1633197802197802,0.3284835164835165,0.3662,0.3021,0.3287,50.73626373626374,0.7,0.7,0.7,0.7,3827.538461538461,3843,3822,3822.0,15.64
31,kitchen,0.0,144762713.83516484,308132.12805222155,145330707,144292428,144698700.0,0.1505274725274725,0.3250824175824175,0.3289,0.3226,0.3255,41.0,0.62,0.62,0.62,0.62,3696.593406593407,3714,3696,3696.0,15.71
32,kitchen,0.0,144744343.18681318,303305.1774471721,145314276,144255940,144700091.0,0.1499582417582417,0.327543956043956,0.3645,0.3227,0.3247,40.94505494505494,0.6105494505494505,0.62,0.61,0.61,3695.351648351648,3697,3691,3697.0,15.76
33,kitchen,1.0,146199356.58241758,308922.721302927,146765636,145700008,146157469.0,0.1672483516483516,0.3445131868131868,0.3476,0.3376,0.3436,43.0,0.61,0.61,0.61,0.61,3709.021978021978,3711,3708,3708.0,15.6
34,kitchen,1.0,146225219.75824177,338811.6009868874,147012851,145683712,146182738.0,0.163176923076923,0.3471274725274725,0.3506,0.3442,0.3467,43.0,0.6,0.6,0.6,0.6,3696.2417582417584,3697,3696,3696.0,15.88
35,kitchen,2.0,145959409.17582417,312471.17618487333,146541752,145402616,145934480.0,0.1674351648351648,0.3154846153846153,0.3377,0.2982,0.31,43.0,0.59,0.59,0.59,0.59,3680.6703296703295,3683,3679,3679.0,15.65
36,kitchen,2.0,146228728.4065934,313649.15770877653,146805688,145711272,146151474.0,0.1762758241758242,0.3220681318681319,0.3649,0.2999,0.3145,42.5054945054945,0.585054945054945,0.59,0.58,0.59,3701.208791208792,3720,3686,3711.0,15.61
37,conference,0.0,145351263.57142857,319200.52129401104,145944676,144776260,145286884.0,0.1510999999999999,0.3390252747252747,0.3428,0.3116,0.3406,55.0,0.33,0.33,0.33,0.33,3570.5274725274726,3572,3570,3570.0,15.58
38,conference,0.0,145432033.8791209,360345.54036528966,146122331,144799388,145442491.0,0.1530857142857142,0.3489593406593407,0.4983,0.3374,0.3401,51.0,0.33,0.33,0.33,0.33,3585.0,3601,3574,3578.0,15.64
39,conference,1.0,146333690.34065935,311972.8964958858,146919152,145743860,146272960.0,0.1578714285714285,0.358210989010989,0.3646,0.3498,0.358,51.0,0.33,0.33,0.33,0.33,3589.021978021978,3595,3578,3595.0,15.62
40,conference,1.0,146290721.32967034,327794.6680852711,146920900,145683600,146242666.0,0.1565131868131868,0.3597923076923077,0.3647,0.3549,0.3598,51.5054945054945,0.32,0.32,0.32,0.32,3572.065934065934,3578,3566,3578.0,15.66
41,conference,2.0,145993488.51648352,308204.1066365821,146732551,145432068,145924152.0,0.1686131868131868,0.3136054945054945,0.3324,0.2923,0.3159,50.0,0.32,0.32,0.32,0.32,3578.4725274725274,3582,3573,3579.0,15.67
42,conference,2.0,146043012.41111112,313334.76860146254,146656126,145469252,145983676.0,0.1685422222222222,0.3108533333333333,0.3503,0.3002,0.308,51.7,0.31,0.31,0.31,0.31,3571.2,3574,3570,3570.0,15.69
43,conference,0.0,145338112.05555555,263327.1559719896,145803876,144886996,145372964.0,0.1604933333333333,0.3307188888888889,0.3341,0.3248,0.331,56.0,0.09,0.09,0.09,0.09,3484.733333333333,3486,3467,3486.0,15.68
44,conference,0.0,145297908.62637362,266204.52177684515,145795132,144848620,145327196.0,0.1523571428571428,0.3021747252747253,0.3297,0.2927,0.2978,56.0,0.08,0.08,0.08,0.08,3495.725274725274,3497,3471,3497.0,15.63
45,conference,1.0,146343064.74725273,285193.90282068355,146985251,145874878,146385316.0,0.1684087912087912,0.3529274725274725,0.3679,0.3239,0.3593,55.0,0.08,0.08,0.08,0.08,3466.153846153846,3500,3460,3460.0,15.54
46,conference,1.0,146043663.76923078,295245.04173450544,146715061,145540012,146049208.0,0.1687582417582417,0.3442252747252747,0.359,0.3227,0.3446,54.0,0.08,0.08,0.08,0.08,3467.8571428571427,3471,3458,3471.0,15.55
47,conference,2.0,146144865.05555555,276023.9036553113,146639818,145698834,146160720.0,0.1701811111111111,0.3157111111111111,0.3317,0.2987,0.31535,55.0,0.07,0.07,0.07,0.07,3454.0,3454,3454,3454.0,15.655
48,conference,2.0,146037933.1098901,303875.02823817503,146665601,145554128,146022770.0,0.1724252747252747,0.3159065934065934,0.3257,0.3057,0.3163,54.0,0.07,0.07,0.07,0.07,3473.285714285714,3475,3473,3473.0,15.49
49,conference,0.0,144222785.7802198,177710.9236900568,144550324,143919604,144215252.0,0.1516593406593406,0.3005560439560439,0.3019,0.2991,0.3006,41.0,0.91,0.91,0.91,0.91,4037.428571428572,4086,4034,4034.0,15.57
50,conference,0.0,144081788.02197802,184245.3745302768,144501660,143774452,144084091.0,0.1407494505494505,0.2956846153846154,0.2984,0.2937,0.2951,41.0,0.91,0.91,0.91,0.91,4091.142857142857,4098,4085,4085.0,15.6
51,conference,1.0,145033013.6153846,184324.857657382,145506595,144711184,145034709.0,0.1611560439560439,0.3206,0.3252,0.3161,0.3198,42.0,0.91,0.91,0.91,0.91,4085.835164835165,4089,4083,4083.0,15.57
52,conference,1.0,145048817.2857143,201773.024802797,145465630,144721022,145024484.0,0.1720428571428571,0.3213087912087912,0.3752,0.3107,0.3177,43.0,0.9,0.9,0.9,0.9,4071.472527472528,4072,4068,4072.0,15.68
53,conference,2.0,145082532.13186812,192830.79203932505,145500913,144719654,145070592.0,0.1583208791208791,0.3314901098901099,0.3565,0.3017,0.3317,43.0,0.8899999999999999,0.89,0.89,0.89,4070.593406593407,4071,4070,4071.0,15.63
54,conference,2.0,145030688.48351648,198631.040458058,145486972,144711956,145002858.0,0.1583725274725274,0.3293472527472527,0.3349,0.3263,0.329,43.0,0.8899999999999999,0.89,0.89,0.89,4058.2417582417584,4075,4050,4050.0,15.67
55,lab,0.0,145132673.65934065,300148.36476687127,145670260,144645508,145169115.0,0.1576010989010988,0.2857252747252747,0.3501,0.2826,0.285,49.0,0.78,0.78,0.78,0.78,3954.307692307693,3957,3950,3957.0,15.49
56,lab,0.0,146248856.35164836,317766.31637225783,146831864,145734352,146262420.0,0.1724318681318681,0.2907560439560439,0.2945,0.2882,0.2899,49.05494505494506,0.7753846153846154,0.78,0.77,0.78,3944.934065934066,3948,3921,3946.0,15.74
57,lab,1.0,146020375.6,316731.0743306208,146604199,145513432,146025096.0,0.17743,0.29419,0.2988,0.2854,0.29595,48.0,0.77,0.77,0.77,0.77,3933.3555555555554,3936,3929,3936.0,15.65
59,lab,1.0,146119726.13186812,315490.2141879405,146680864,145598554,146149250.0,0.1731153846153846,0.2995186813186813,0.3078,0.2925,0.3006,48.0,0.75,0.75,0.75,0.75,3927.307692307693,3928,3919,3928.0,15.58
60,lab,2.0,145992284.8777778,304543.6303133543,146545954,145512160,146010728.0,0.1673988888888888,0.2976722222222222,0.3042,0.291,0.2973,47.43333333333333,0.75,0.75,0.75,0.75,3896.9,3902,3893,3893.0,15.58
61,lab,2.0,146063727.4888889,316878.5462480196,146628356,145552886,146072747.0,0.17193,0.3105988888888889,0.3529,0.2943,0.3015,47.077777777777776,0.74,0.74,0.74,0.74,3900.222222222222,3907,3893,3901.0,15.625
63,hallway,0.0,144132369.46153846,201743.6455115664,144568500,143749972,144111924.0,0.1322758241758241,0.2585340659340659,0.2637,0.257,0.2577,47.0,0.66,0.66,0.66,0.66,3811.978021978022,3816,3806,3814.0,15.56
64,hallway,0.0,144759213.13186812,181099.51631313397,145091748,144452836,144757732.0,0.1854296703296703,0.2589758241758242,0.2594,0.2581,0.2592,50.0,0.6437362637362637,0.65,0.64,0.64,3777.032967032967,3787,3768,3778.0,15.11
65,hallway,1.0,145116994.74725273,198753.79749499168,145537308,144726646,145092982.0,0.2064175824175824,0.2742736263736263,0.2883,0.2696,0.2738,50.0,0.64,0.64,0.64,0.64,3789.4175824175823,3791,3775,3791.0,15.26
66,hallway,1.0,144681976.53846154,248306.6935515957,145213907,144173368,144714470.0,0.202067032967033,0.2734395604395604,0.2778,0.2668,0.2735,50.0,0.63,0.63,0.63,0.63,3790.3846153846152,3797,3783,3797.0,15.71
67,hallway,2.0,144653737.8791209,199286.5515655857,145078595,144200768,144631400.0,0.1457780219780219,0.279645054945055,0.3026,0.2689,0.2774,49.0,0.62,0.62,0.62,0.62,3767.846153846154,3790,3754,3754.0,15.54
68,hallway,2.0,144671724.53846154,204008.09328608363,145096032,144232564,144663524.0,0.1462802197802198,0.2894648351648352,0.3109,0.2672,0.2938,49.0,0.62,0.62,0.62,0.62,3755.703296703297,3777,3743,3743.0,15.55
